Layer,Code,Parent Account,Name,,Type,active,pending,state
Layer 4,42406,424,Depreciation on Intangible Assets,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42409,424,Repair and Maintenance,Depreciation & Repair & Maintenance of Assets,View Type,True,False,approve
Layer 4,42501,425,Postage Expenses,"Postage, Stamps and Telecommunication etc.",View Type,True,False,approve
Layer 4,42502,425,Telecommunication expenses,"Postage, Stamps and Telecommunication etc.",View Type,True,False,approve
Layer 4,42503,425,Stamp Expenses,"Postage, Stamps and Telecommunication etc.",View Type,True,False,approve
Layer 4,42601,426,Legal Expenses,Legal Expenses,View Type,True,False,approve
Layer 4,42701,427,Stationery Expenses,"Stationery, Printing and Advertisements etc.",View Type,True,False,approve
Layer 4,42702,427,Printing Expenses,"Stationery, Printing and Advertisements etc.",View Type,True,False,approve
Layer 4,42703,427,Advertisements Expenses,"Stationery, Printing and Advertisements etc.",View Type,True,False,approve
Layer 4,42801,428,Director's Expenses,Director's Expenses,View Type,True,False,approve
Layer 4,42901,429,Managing Director's Remuneration,Managing Director's Remuneration,View Type,True,False,approve
Layer 4,43101,431,Provision for Loans,Provision for Loans,View Type,True,False,approve
Layer 4,43201,432,Provision for diminution in value of Invsetments,Provision for diminution in value of Invsetments,View Type,True,False,approve
Layer 4,43301,433,Other Provisions,Other Provisions,View Type,True,False,approve
Layer 4,51101,511,Foreign Bills sent for collection,Bills sent for collection,View Type,True,False,approve
Layer 4,51102,511,Inland Bills sent for collection,Bills sent for collection,View Type,True,False,approve
Layer 4,51201,512,Foreign Bills received for collection,Bills received for Collection,View Type,True,False,approve
Layer 4,51202,512,Inland Bills received for collection,Bills received for Collection,View Type,True,False,approve
Layer 4,51301,513,Forward Contract Cust,Forward Contract,View Type,True,False,approve
Layer 4,51302,513,Forward Contract Cust-2,Forward Contract,View Type,True,False,approve
Layer 4,52101,521,Bankers Liability on BG (Inland),Bank Guarantee <Contingent>,View Type,True,False,approve
Layer 4,52102,521,Bankers Liability on BG (Foreign),Bank Guarantee <Contingent>,View Type,True,False,approve
Layer 4,52103,521,Bankers Liability on BG (Foreign) <OBU>,Bank Guarantee <Contingent>,View Type,True,False,approve
Layer 4,52201,522,Bankers Liability on LC (Inland),Letter of Credit <Contingent>,View Type,True,False,approve
Layer 4,52202,522,Bankers Liability on LC (Foreign),Letter of Credit <Contingent>,View Type,True,False,approve
Layer 4,52301,523,Bankers Liability for Accepted Bills <Inland>,Accepted Bills under LC <Contingent>,View Type,True,False,approve
Layer 4,52302,523,Bankers Liability for Accepted Bills <Foreign>,Accepted Bills under LC <Contingent>,View Type,True,False,approve
Layer 4,61101,611,Foreign Bills sent for collection,Bills sent for collection,View Type,True,False,approve
Layer 4,61102,611,Inland Bills sent for collection,Bills sent for collection,View Type,True,False,approve
Layer 4,61201,612,Foreign Bills received for collection,Bills received for Collection,View Type,True,False,approve
Layer 4,61301,613,Forward Contract Cust,Forward Contract,View Type,True,False,approve
Layer 4,61302,613,Forward Contract Cust-2,Forward Contract,View Type,True,False,approve
Layer 4,62101,621,Customers' Liability on BG (Inland),Bank Guarantee <Contingent>,View Type,True,False,approve
Layer 4,62102,621,Customers' Liability on BG (Foreign),Bank Guarantee <Contingent>,View Type,True,False,approve
Layer 4,62103,621,Customers' Liability on BG (Foreign)-3,Bank Guarantee <Contingent>,View Type,True,False,approve
Layer 4,62201,622,Customers' Liability on LC (Inland),Letter of Credit <Contingent>,View Type,True,False,approve
Layer 4,62202,622,Customers' Liability on LC (Foreign),Letter of Credit <Contingent>,View Type,True,False,approve
Layer 4,62301,623,Customers' Liability for Accepted Bills <Inland>,Accepted Bills under LC <Contingent>,View Type,True,False,approve
Layer 4,62302,623,Customers' Liability for Accepted Bills <Fgn>,Accepted Bills under LC <Contingent>,View Type,True,False,approve
Layer 4,61202,612,Inland Bills received for collection,Bills received for Collection,View Type,True,False,approve
