Layer,Code,Parent Account,Name,Type,,active,pending,state
Layer 5,12302002,12302,SME Foundation Fund (MTB Gunabati),Liabilities: Customer Accounts,Borrowing under Pre-finance (Other Institute),True,False,approve
Layer 5,12303001,12303,Borrowings from NBFI,Liabilities: Customer Accounts,Borrowings from NBFI,True,False,approve
Layer 5,12501001,12501,Interest Payable on Borrowings from LTFF under FSSP,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501002,12501,Interest Payable on Borrowing -IPFF Fund USD,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501003,12501,Interest Payable on Borrowing -IPFF Fund GBP,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501004,12501,Interest Payable on Borrowings from BB-others,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501005,12501,Interest Payable on Borrowings from BB-under prefinance,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501006,12501,Interest Payable on Borrowings from BB-under Refinance,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501007,12501,Intt Payable on Borrowing under EDF from BB,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12501102,12501,Interest Payable on Borrowing -IPFF Fund USD OBU,Interest Payable Accounts,Interest Payable on Borrowings fm BB,True,False,approve
Layer 5,12502001,12502,Interest Payable on Term Borrowing in FC <USD>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502002,12502,Interest Payable on Term Borrowing in FC <GBP>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502003,12502,Interest Payable on Term Borrowings BDT,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502004,12502,Interest Payable on Call Borrowing BDT,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502006,12502,Interest payable on Call Borrowing in FC <USD>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502007,12502,Interest payable on Call Borrowing in FC <GBP>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502008,12502,Interest Payable A/c- Repo T Bond,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502009,12502,Interest Payable on Short Term Borrowing in FC <USD>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502010,12502,Interest Payable on Short Term Borrowing in FC <GBP>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502011,12502,Interest Payable on Short Term Borrowings BDT,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12503001,12503,Interest Payable on Borrowings from SME Foundation,Interest Payable Accounts,Interest Payable on Borrowings fm other Institution,True,False,approve
Layer 5,12503002,12503,Interest Payable on Borrowing from NBFI,Interest Payable Accounts,Interest Payable on Borrowings fm other Institution,True,False,approve
Layer 5,12504001,12504,IP on SME Foundation Fund (MTB Youth Line),Interest Payable Accounts,Interest Payable on Borrowings fm other Institution <prefinance>,True,False,approve
Layer 5,12504002,12504,IP on SME Foundation Fund (MTB Gunabati),Interest Payable Accounts,Interest Payable on Borrowings fm other Institution <prefinance>,True,False,approve
Layer 5,13101001,13101,Current Account Regular <CAREG>,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101002,13101,MTB Probaho,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101003,13101,Current CMS,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101004,13101,NON RESIDENT INVESTORS TAKA ACCOUNT (NITA),Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101005,13101,Non-Resident Taka Account (NRTA),Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101006,13101,CA Convertible Taka Account,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101901,13101,Current Deposit (DST),Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13102001,13102,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102011,13102,CA FC FOR THE EPZ COMPANIES (FCEPZ)_USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
