Layer,Code,Parent Account,Name,Type,,active,pending,state
Layer 5,21403005,21403,Foreign Banks Nostro (JPY),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403006,21403,Foreign Banks Nostro (SGD),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403007,21403,Foreign Banks Nostro (CHF),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403008,21403,Foreign Banks Nostro(ACU-USD),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403009,21403,Foreign Banks Nostro (ACU-EUR),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403010,21403,Foreign Banks Nostro (AED),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403011,21403,Foreign Banks Nostro (QAR),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403012,21403,Foreign Banks Nostro (AUD),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21403013,21403,Foreign Banks Nostro (SAR),Treasury Asset,Other Banks & FIs outside Bangladesh <FC>,True,False,approve
Layer 5,21404001,21404,Local Bank Nostro <USD>,Assets: Office Accounts,Other Banks & FIs within Bangladesh <FC>,True,False,approve
Layer 5,21405001,21405,Interest Receivable on Balance with other Bank <Cont. Acctts> (BDT),Assets: Office Accounts,Interest Receivable on Other Banks & FIs in Bangladesh,True,False,approve
Layer 5,21405002,21405,Interest Receivable on Balance with other Bank <Deal Acctts> (BDT),Assets: Office Accounts,Interest Receivable on Other Banks & FIs in Bangladesh,True,False,approve
Layer 5,22101001,22101,Call Money,Treasury Asset,Call Money <BDT>,True,False,approve
Layer 5,22102001,22102,Call Money USD,Treasury Asset,Call Money <FC>,True,False,approve
Layer 5,22102002,22102,Call Money GBP,Treasury Asset,Call Money <FC>,True,False,approve
Layer 5,22103001,22103,Interest Receivable on Call Money <BDT>,Treasury Asset,Interest Receivable on Call Money <BDT>,True,False,approve
Layer 5,22104001,22104,Interest Receivable on Call Money <USD>,Treasury Asset,Interest Receivable on Call Money <FC>,True,False,approve
Layer 5,22104002,22104,Interest Receivable on Call Money <GBP>,Treasury Asset,Interest Receivable on Call Money <FC>,True,False,approve
Layer 5,22105001,22105,Term Placement,Treasury Asset,Term Placement BDT,True,False,approve
Layer 5,22106001,22106,Term Placement USD,Treasury Asset,Term Placement FC,True,False,approve
Layer 5,22106002,22106,Term Placement GBP,Treasury Asset,Term Placement FC,True,False,approve
Layer 5,22107001,22107,Interest Receivable on Term Placement <BDT>,Treasury Asset,Intt receivable on Term Placement BDT,True,False,approve
Layer 5,22108001,22108,Interest Receivable on Term Placement <USD>,Treasury Asset,Intt receivable on Term Placement FC,True,False,approve
Layer 5,22108002,22108,Interest Receivable on Term Placement <GBP>,Treasury Asset,Intt receivable on Term Placement FC,True,False,approve
Layer 5,22109001,22109,Short Term Placement,Treasury Asset,Short Term Placement,True,False,approve
Layer 5,22110001,22110,Short Term Placement USD,Treasury Asset,Short Term Placement FC,True,False,approve
Layer 5,22110002,22110,Short Term Placement GBP,Treasury Asset,Short Term Placement FC,True,False,approve
Layer 5,22111001,22111,Interest Receivable on Short Term Placement <BDT>,Treasury Asset,Intt receivable on Short Term Placement BDT,True,False,approve
Layer 5,22112001,22112,Interest Receivable on Short Term Placement <USD>,Treasury Asset,Intt receivable on Short Term Placement FC,True,False,approve
Layer 5,22112002,22112,Interest Receivable on Short Term Placement <GBP>,Treasury Asset,Intt receivable on Short Term Placement FC,True,False,approve
Layer 5,23101001,23101,Stock of Prize Bonds,Assets: Office Accounts,Securities other than Tbill Tbond,True,False,approve
Layer 5,23101002,23101,Govt. Securities (Encumbered),Treasury Asset,Securities other than Tbill Tbond,True,False,approve
Layer 5,23101003,23101,Bangladesh Bank Bill,Treasury Asset,Securities other than Tbill Tbond,True,False,approve
Layer 5,23101004,23101,Repo Interest Adjustment,Treasury Asset,Securities other than Tbill Tbond,True,False,approve
Layer 5,23102001,23102,Treasury Bills Held for Trading (HFT) Reverse Repo,Treasury Asset,Treasury Bills,True,False,approve
Layer 5,23102002,23102,Treasury Bills Held for Trading (HFT),Treasury Asset,Treasury Bills,True,False,approve
Layer 5,23102003,23102,Treasury Bills Held to Maturity (HTM) Reverse Repo,Treasury Asset,Treasury Bills,True,False,approve
Layer 5,23102004,23102,Treasury Bills Held to Maturity (HTM),Treasury Asset,Treasury Bills,True,False,approve
Layer 5,23102005,23102,Govt. Securities T Bill (Encumbered),Treasury Asset,Treasury Bills,True,False,approve
Layer 5,23103001,23103,Treasury Bond (HTM) Reverse Repo,Treasury Asset,Treasury Bonds,True,False,approve
Layer 5,23103002,23103,Treasury Bond Held for Trading (HFT) Reverse Repo,Treasury Asset,Treasury Bonds,True,False,approve
Layer 5,23103003,23103,Treasury Bond Held to Maturity (HTM),Treasury Asset,Treasury Bonds,True,False,approve
Layer 5,23103004,23103,Remeasured HTM,Treasury Asset,Treasury Bonds,True,False,approve
Layer 5,23103005,23103,Interest Receivables on Treasury Bond,Treasury Asset,Treasury Bonds,True,False,approve
Layer 5,23103006,23103,Treasury Bond Held for Trading (HFT),Treasury Asset,Treasury Bonds,True,False,approve
Layer 5,23201001,23201,<Private> Equity Investments,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201002,23201,<Private> Investments in Debenture,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201003,23201,<Private> Investments in Bonds <Corp>,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201004,23201,<Private> Investments in Bonds <Sub-ordinated>,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201005,23201,<Public> Proprietary Investment Portfolio,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201006,23201,Investment under Managed Portfolio,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201007,23201,Investment in Mutual Fund <pvt placement> Open ended,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201008,23201,Investment in Mutual Fund <pvt placement> Closed ended,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201009,23201,Investment in Preference Share,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201010,23201,Investment in Zero Coupon Bond <Corporate>,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201011,23201,Investment in Commercial Paper,Treasury Asset,Other Investments,True,False,approve
Layer 5,23201012,23201,Interest Receivable on Investment in Commercial Paper,Treasury Asset,Other Investments,True,False,approve
Layer 5,23201013,23201,Interest Receivable in <Private> Investments in Debenture,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201014,23201,Interest Receivable in <Private> Investments in Bonds <Corp>,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23201015,23201,Interest Receivable in <Private> Investments in Bonds <Sub-ordinated>,Assets: Office Accounts,Other Investments,True,False,approve
Layer 5,23301001,23301,Investment in Subsidiaries MTB Securities Limited,Assets: Office Accounts,Investment in Subsidiaries,True,False,approve
Layer 5,23301002,23301,Investment in Subsidiaries MTB Capital Limited,Assets: Office Accounts,Investment in Subsidiaries,True,False,approve
Layer 5,23301003,23301,Investment in Subsidiaries MTB Exchange (UK) Limited,Assets: Office Accounts,Investment in Subsidiaries,True,False,approve
Layer 5,24101001,24101,MTB Auto Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101002,24101,MTB Home Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101003,24101,MTB Home Equity Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101004,24101,MTB NRB Home Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101005,24101,MTB Neer,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101006,24101,MTB Personal Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101007,24101,MTB Professional Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101008,24101,MTB Consumer Loan,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101009,24101,MTB EDU Finance (TL),Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101011,24101,MTB Life Line <RTL>,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101012,24101,MTB Cash Line <RTL>,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101901,24101,MTB Personal Loan <DST>,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101902,24101,MTB Home Loan <DST>,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101903,24101,MTB Home Equity Loan <DST>,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24101904,24101,Home Loan refinance,Assets: Customer Accounts,Retail Term Loans <excl. Staff Loans>,True,False,approve
Layer 5,24102001,24102,Staff Auto Loan,Assets: Customer Accounts,Retail Term Loans <Staff>,True,False,approve
Layer 5,24102002,24102,Staff Housing Loan,Assets: Customer Accounts,Retail Term Loans <Staff>,True,False,approve
Layer 5,24102003,24102,Staff Loan Against Prov. Fund,Assets: Customer Accounts,Retail Term Loans <Staff>,True,False,approve
Layer 5,24102004,24102,Staff Personal Loan,Assets: Customer Accounts,Retail Term Loans <Staff>,True,False,approve
Layer 5,24103001,24103,House Building Loan <Developer>,Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103002,24103,Lease Finance (Monthly) [C&S],Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103003,24103,Lease Finance (Quarterly) [C&S],Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103004,24103,House Building Loan <Commercial>,Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103005,24103,Term Loan Non Industrial [C&S],Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103006,24103,Term Loan Industrial [C&S],Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103007,24103,House Building Loan-Residential [C&S],Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103008,24103,Term Loan-IPFF Fund,Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103009,24103,Term Loan-LTFF,Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24103010,24103,Term Loan-by OBU USD,Assets: Customer Accounts,Corporate & SME Term Loan,True,False,approve
Layer 5,24104001,24104,MTB Digoon,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104002,24104,MTB Small Business Loan Scheme,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104003,24104,MTB Youth Line,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104004,24104,MTB Krishi,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104005,24104,Microfinance Scheme (Ent. -TL) <SME>,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104006,24104,MTB Bhagyabati <Refinance>,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104007,24104,MTB Gunabati <pre-finance>,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104008,24104,MTB Green Energy,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104009,24104,MTB IT Genius (TL),Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104010,24104,MTB Krishijat (TL),Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104011,24104,MTB Light Engineering (TL),Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24104013,24104,MTB Shachal,Assets: Customer Accounts,SME Term Loan excl Agri & Micro Fin.,True,False,approve
Layer 5,24105001,24105,Microfinance <Agri-TL>,Assets: Customer Accounts,SME Term Loan <Agri & Micro Fin.>,True,False,approve
Layer 5,24105002,24105,Microfinance <Micro-TL>,Assets: Customer Accounts,SME Term Loan <Agri & Micro Fin.>,True,False,approve
Layer 5,24201001,24201,Demand Loan General,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201002,24201,Demand Loan <Forced>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201003,24201,Demand Loan Short Term,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201004,24201,Demand Loan Time,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201005,24201,Payment Aganist Document <PAD>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201006,24201,Payment Against Document (Back to Back),Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201007,24201,Inland Doc. Bill Purchased <Sight>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201008,24201,Inland Doc. Bill Discounted <Usance>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201010,24201,Foreign Demand Bill Purchased <Sight>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201011,24201,Foreign Demand Bill Discounted <Usance>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201013,24201,Loan against Trust Receipt,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201014,24201,Advance against Cash Incentive,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201015,24201,Cash Aganist Document DL,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201016,24201,Secured Overdraft Garments <DL>,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201017,24201,Packing Credit Loan DL,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24201018,24201,Secured Overdraft Genl Business DL,Assets: Customer Accounts,Corporate & SME Demand Loan,True,False,approve
Layer 5,24202001,24202,Loan under EDF DL FC,Assets: Customer Accounts,Corporate & SME Demand Loan <FC>,True,False,approve
Layer 5,24203001,24203,Loans against Rural Credit <SME> DL,Assets: Customer Accounts,SME Demand Loan,True,False,approve
Layer 5,24203002,24203,MTB Supply Chain Finance <SME> DL,Assets: Customer Accounts,SME Demand Loan,True,False,approve
Layer 5,24203003,24203,MTB Mousumi,Assets: Customer Accounts,SME Demand Loan,True,False,approve
Layer 5,24204001,24204,Foreign Cheque Purchased,Assets: Customer Accounts,Misc Demand Loans <C/S/R>,True,False,approve
Layer 5,24204002,24204,Inland Cheque Purchased,Assets: Customer Accounts,Misc Demand Loans <C/S/R>,True,False,approve
Layer 5,24301001,24301,Secured Overdraft (FO) against Bank's own TD,Assets: Customer Accounts,Retail Continuous Loans,True,False,approve
Layer 5,24301002,24301,Secured Overdraft against other Bank's TD,Assets: Customer Accounts,Retail Continuous Loans,True,False,approve
Layer 5,24301003,24301,Secured Overdraft (FO) against Shares etc.,Assets: Customer Accounts,Retail Continuous Loans,True,False,approve
Layer 5,24301004,24301,MTB EDU Finance - Over Draft (Revolving),Assets: Customer Accounts,Retail Continuous Loans,True,False,approve
Layer 5,24301005,24301,MTB Cash Line <ROD>,Assets: Customer Accounts,Retail Continuous Loans,True,False,approve
Layer 5,24302001,24302,Corporate Cash Credit (Hypo),Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302002,24302,Secured Overdraft (Shares and Debenture) [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302003,24302,Secured Overdraft (FO)-WBD [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302004,24302,Secured Overdraft (General) Work/Supply Order [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302005,24302,Secured Overdraft (General) -Pay Order [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302006,24302,Secured Overdraft Real Estate [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302007,24302,Secured Overdraft (General)-Business [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302008,24302,Advance against Export Bill,Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302009,24302,Advance against Inland Bill,Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302010,24302,Secured Overdraft (Others)-Business [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24302011,24302,Secured Overdraft (lP)-Business [C&S],Assets: Customer Accounts,Corporate & SME Continuous Loan,True,False,approve
Layer 5,24303001,24303,MTB SME Cash Credit (Hypo),Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24303002,24303,MTB Revolving Loan,Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24303003,24303,MTB Microfinance Agri Revolving Loan,Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24303004,24303,MTB Microfinance enterprise Revolving Loan,Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24303005,24303,MTB Light Engineering Revolving Loan,Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24303006,24303,MTB IT Genious Revolving Loan,Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24303007,24303,MTB Krishijat Revolving Loan,Assets: Customer Accounts,SME Continuous Loan,True,False,approve
Layer 5,24304001,24304,PAD EDF Loan USD,Assets: Customer Accounts,PAD EDF Loan,True,False,approve
Layer 5,24401001,24401,Credit Card Loans,Assets: Office Accounts,Credit Cards,True,False,approve
Layer 5,24402001,24402,Credit Card Loans USD,Assets: Office Accounts,Credit Cards FC,True,False,approve
Layer 5,24501001,24501,Interest Receivable on MTB Auto Loan,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501002,24501,Interest Receivable on MTB Home Loan,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501003,24501,Interest Receivable on MTB Home Equity Loan,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501004,24501,Interest Receivable on MTB NRB Home Loan,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501005,24501,Interest Receivable on MTB Neer,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501006,24501,Interest Receivable on MTB Personal Loan,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501007,24501,Interest Receivable on MTB Professional Loan,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501008,24501,Interest Receivable on Consumer Financing,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501009,24501,Interest Receivable on MTB EDU Finance (TL),Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501011,24501,Interest Receivable on MTB Life Line,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501012,24501,Interest Receivable on MTB Cash Line <RTL>,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501901,24501,Interest Receivable on MTB Personal Loan <DST>,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501902,24501,Interest Receivable on MTB Home Loan <DST>,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501903,24501,Interest Receivable on MTB Home Equity Loan <DST>,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24501904,24501,Interest Receivable on Home Loan refinance,Interest Receivable Accounts,Interest Receivable on RTL,True,False,approve
Layer 5,24502001,24502,Interest Receivable on Car Loan (Employee),Interest Receivable Accounts,Interest Receivable on Staff Loans,True,False,approve
Layer 5,24502002,24502,Interest Receivable on Employees House Building Loan,Interest Receivable Accounts,Interest Receivable on Staff Loans,True,False,approve
Layer 5,24502003,24502,Interest Receivable on Staff Loan Aganist Prov. Fund,Interest Receivable Accounts,Interest Receivable on Staff Loans,True,False,approve
Layer 5,24502004,24502,Interest Receivable on Staff Loan Personal Loan,Interest Receivable Accounts,Interest Receivable on Staff Loans,True,False,approve
Layer 5,24503001,24503,Interest Receivable on House Building Loan <Developer>,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503002,24503,Lease Finance (Monthly) Rental receivables,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503003,24503,Lease Finance (Quarterly) Rental receivables,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503004,24503,Interest Receivable on House Building Loan <Commercial>,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503005,24503,Interest Receivable on Term Loan Non-Industrial,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503006,24503,Interest Receivable on Term Loan Industrial,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503007,24503,Interest Receivable on House Building Loan-Residential [C&S],Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503008,24503,Interest Receivable on Term Loan-IPFF Fund,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503009,24503,Interest Receivable on Term Loan-LTFF,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24503010,24503,Interest Receivable on Term Loan-by OBU USD,Interest Receivable Accounts,Interest Reeceivable on Corporate Term Loan,True,False,approve
Layer 5,24504001,24504,Interest Receivable on MTB Digoon,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504002,24504,Interest Receivable on Small Business Loan Scheme,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504003,24504,Interest Receivable on MTB Life Line,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504004,24504,Interest Receivable on MTB Krishi,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504005,24504,Interest Receivable on MTB Inclusive Finance,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504006,24504,Interest Receivable on MTB Bhagyaboti <Re-finance>,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504007,24504,Interest Receivable on MTB Gunaboti <Pre-finance>,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504008,24504,Interest Receivable on MTB Green Energy,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504009,24504,Interest Receivable on MTB IT Geniuos,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504010,24504,Interest Receivable on MTB Krishijat,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504011,24504,Interest Receivable on MTB Light Engineering,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24504013,24504,Interest Receivable on MTB Youth Line,Interest Receivable Accounts,Interest Receivable on SME Term Loan excl Agri & MF,True,False,approve
Layer 5,24505001,24505,Interest Receivable on Microfinance <Agri&Micro-TL>,Interest Receivable Accounts,Interest Receivable on SME Term Loan <Agri Fin.>,True,False,approve
Layer 5,24505002,24505,Interest Receivable on Microfinance (Enterprise-TL),Interest Receivable Accounts,Interest Receivable on SME Term Loan <Agri Fin.>,True,False,approve
Layer 5,24506001,24506,Interest Receivable on Demand Loan General,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506002,24506,Interest Receivable on Demand Loan Forced,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506003,24506,Interest Receivable on Demand Loan Short Term,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506004,24506,Interest Receivable on Demand Loan Time,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506005,24506,Interest Receivable on Payment Aganist Document,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506006,24506,Interest Receivable on Payment Against Document (B-to-B),Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506007,24506,Interest Receivable on Inland Doc. Bill Purchased <Sight>,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506008,24506,Interest Receivable on Inland Doc. Bill Discounted <Usance>,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506010,24506,Interest Receivable on Foreign D.B Purchased <Sight>,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506011,24506,Interest Receivable on Foreign D.B Discounted <Usance>,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506013,24506,Interest Receivable on Loan Against Trust Receipt,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506014,24506,Interest Receivable on Cash Aganist Document DL,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506015,24506,Interest Receivable on Demand Loan Garments,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506016,24506,Interest Receivable on Packing Credit,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506017,24506,Interest Receivable on Advance Against Cash Incentive,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24506018,24506,Interest Receivable Secured Overdraft Genl Business DL,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan,True,False,approve
Layer 5,24507001,24507,Interest Receivable on EDF Loan <USD>,Interest Receivable Accounts,Interest Receivable on Corporate & SME Demand Loan FC,True,False,approve
Layer 5,24508001,24508,Interest Receivable on Demand Loans against Rural Credit,Interest Receivable Accounts,Interest Receivable on SME Demand Loan,True,False,approve
Layer 5,24508002,24508,Interest Receivable on MTB Supply Chain Finance <SME> DL,Interest Receivable Accounts,Interest Receivable on SME Demand Loan,True,False,approve
Layer 5,24508003,24508,Interest Receivable on MTB Mousumi,Interest Receivable Accounts,Interest Receivable on SME Demand Loan,True,False,approve
Layer 5,24509001,24509,Interest Receivable on Secured Overdraft against Bank's own TD,Interest Receivable Accounts,Interest Receivable on Retail Continuous Loans,True,False,approve
Layer 5,24509002,24509,Interest Receivable on Secured Overdraft against other Bank's TD,Interest Receivable Accounts,Interest Receivable on Retail Continuous Loans,True,False,approve
