Layer,Code,Name,Parent Account,Type,Active,Pending,Status
Layer 4,61302,Forward Contract Cust Sale,613,View Type,1,0,approve
Layer 4,62101,Customers' Liability on BG (Inland),621,View Type,1,0,approve
Layer 4,62102,Customers' Liability on BG (Foreign),621,View Type,1,0,approve
Layer 4,62103,Customers' Liability on BG (Foreign) <OBU>,621,View Type,1,0,approve
Layer 4,62201,Customers' Liability on LC (Inland),622,View Type,1,0,approve
Layer 4,62202,Customers' Liability on LC (Foreign),622,View Type,1,0,approve
Layer 4,62301,Customers' Liability for Accepted Bills <Inland>,623,View Type,1,0,approve
Layer 4,62302,Customers' Liability for Accepted Bills <Fgn>,623,View Type,1,0,approve
Layer 4,90001,Inter Branch SuspenseAccount,900,View Type,1,0,approve
Layer 4,90002,Intra Branch SuspenseAccount,900,View Type,1,0,approve
Layer 4,90003,Cross Currency Suspense Account,900,View Type,1,0,approve
Layer 4,90004,Currency Position Account <FC>,900,View Type,1,0,approve
Layer 4,90005,Exchange Value Account,900,View Type,1,0,approve
Layer 4,90006,Inter System Suspense Account BDT,900,View Type,1,0,approve
Layer 4,90007,Inter System Suspense Account <FC>,900,View Type,1,0,approve
