"External ID","Module Name","Technical Name","Display Name"
"base.module_gbs_hr_attendance_grace_time","GBS HR Attendance Grace Time","gbs_hr_attendance_grace_time","GBS HR Attendance Grace Time"
"base.module_gbs_hr_attendance_report","GBS HR Attendance Report","gbs_hr_attendance_report","GBS HR Attendance Report"
"base.module_gbs_hr_attendance_utility","GBS Hr Attendance Utilities","gbs_hr_attendance_utility","GBS Hr Attendance Utilities"
"base.module_gbs_hr_device_config","HR Device Config","gbs_hr_device_config","HR Device Config"
"base.module_gbs_hr_employee","GBS HR Employee","gbs_hr_employee","GBS HR Employee"
"base.module_gbs_hr_employee_documents","Employee Documents","gbs_hr_employee_documents","Employee Documents"
"base.module_gbs_hr_employee_security","Employee Security","gbs_hr_employee_security","Employee Security"
"base.module_gbs_hr_job_extend","GBS HR Job Extend","gbs_hr_job_extend","GBS HR Job Extend"
"base.module_gbs_hr_leave_report","HR Leave Reports","gbs_hr_leave_report","HR Leave Reports"
"base.module_gbs_hr_package","HR Package","gbs_hr_package","HR Package"
"base.module_gbs_hr_payroll","GBS HR Payroll","gbs_hr_payroll","GBS HR Payroll"
"base.module_gbs_hr_recruitment","GBS HR Recruitment","gbs_hr_recruitment","GBS HR Recruitment"
"base.module_gbs_hr_recruitment_access_rights","GBS HR Recruitment Access Rights","gbs_hr_recruitment_access_rights","GBS HR Recruitment Access Rights"
"base.module_gbs_hr_security","HR Permission Groups","gbs_hr_security","HR Permission Groups"
"base.module_gbs_operating_unit","GBS Operating Unit","gbs_operating_unit","GBS Operating Unit"
"base.module_gbs_res_users","Update User","gbs_res_users","Update User"
"base.module_gbs_sale_quotation_number","Sale Quotation Numeration","gbs_sale_quotation_number","Sale Quotation Numeration"
"base.module_gbs_stock_product","GBS Stock Product","gbs_stock_product","GBS Stock Product"
"base.module_hide_desktop_notification_link","Hide Desktop Notification Link","hide_desktop_notification_link","Hide Desktop Notification Link"
"base.module_hr_absence_summary","HR Absence Summary","hr_absence_summary","HR Absence Summary"
"base.module_hr_attendance_and_ot_summary","HR Attendance and Over Time (OT) Summary","hr_attendance_and_ot_summary","HR Attendance and Over Time (OT) Summary"
"base.module_hr_attendance_dashboard","Employee Attendance Dashboard","hr_attendance_dashboard","Employee Attendance Dashboard"
"base.module_hr_attendance_import","HR Attendance Import","hr_attendance_import","HR Attendance Import"
"base.module_hr_attendance_store","HR Attendance Collection","hr_attendance_store","HR Attendance Collection"
"base.module_hr_contract","Employee Contracts","hr_contract","Employee Contracts"
"base.module_hr_contract_reference","HR Contract Reference","hr_contract_reference","HR Contract Reference"
"base.module_hr_earned_leave","HR Earned Leave","hr_earned_leave","HR Earned Leave"
"base.module_hr_employee_attendance_payroll","Attendance Integration With Payroll","hr_employee_attendance_payroll","Attendance Integration With Payroll"
"base.module_hr_employee_exit","HR Exit Management","hr_employee_exit","HR Exit Management"
"base.module_hr_employee_iou","Employee IOU","hr_employee_iou","Employee IOU"
"base.module_hr_employee_iou_payroll","Employee IOU Integration With Payroll","hr_employee_iou_payroll","Employee IOU Integration With Payroll"
"base.module_hr_employee_loan","HR Employee Loan","hr_employee_loan","HR Employee Loan"
"base.module_hr_employee_loan_payroll","Loan Integration With Payroll","hr_employee_loan_payroll","Loan Integration With Payroll"
"base.module_hr_employee_meal_bills","HR Employee Meal Bills","hr_employee_meal_bills","HR Employee Meal Bills"
"base.module_hr_employee_meal_bills_payroll","Meal Bill Integration With Payroll","hr_employee_meal_bills_payroll","Meal Bill Integration With Payroll"
"base.module_hr_employee_mobile_bills","Employee Mobile Bills","hr_employee_mobile_bills","Employee Mobile Bills"
"base.module_hr_employee_mobile_bills_payroll","Mobile Bill Integration With Payroll","hr_employee_mobile_bills_payroll","Mobile Bill Integration With Payroll"
"base.module_hr_employee_number","Employee Number","hr_employee_number","Employee Number"
"base.module_hr_employee_seniority","Employee Seniority","hr_employee_seniority","Employee Seniority"
"base.module_hr_experience","Experience Management","hr_experience","Experience Management"
"base.module_hr_family","Employee Family Information","hr_family","Employee Family Information"
"base.module_hr_holiday_utility","Holiday Utility","hr_holiday_utility","Holiday Utility"
"base.module_hr_holiday_year","HR Holiday Year","hr_holiday_year","HR Holiday Year"
"base.module_hr_holidays_compute_days","Employee Compute Leave Days","hr_holidays_compute_days","Employee Compute Leave Days"
"base.module_hr_holidays_multi_approval_notification","Holiday Multi Approvar Notification","hr_holidays_multi_approval_notification","Holiday Multi Approvar Notification"
"base.module_hr_holidays_multi_levels_approval","Holidays multi levels approval","hr_holidays_multi_levels_approval","Holidays multi levels approval"
"base.module_hr_manual_attendance","HR Manual Attendance Request","hr_manual_attendance","HR Manual Attendance Request"
"base.module_hr_other_allowance","HR Employee Other Allowance","hr_other_allowance","HR Employee Other Allowance"
"base.module_hr_other_allowance_payroll","Other Allowance Bill Integration With Payroll","hr_other_allowance_payroll","Other Allowance Bill Integration With Payroll"
"base.module_hr_overtime_requisition","HR OverTime Requisition","hr_overtime_requisition","HR OverTime Requisition"
"base.module_hr_payroll_arrear","Payroll Arrear","hr_payroll_arrear","Payroll Arrear"
"base.module_hr_payroll_festival_bonus","HR Payroll Festival Bonus","hr_payroll_festival_bonus","HR Payroll Festival Bonus"
"base.module_hr_public_holidays","HR Public Holidays","hr_public_holidays","HR Public Holidays"
"base.module_hr_recruitment_survey","Hr Recruitment Interview Forms","hr_recruitment_survey","Hr Recruitment Interview Forms"
"base.module_hr_rostering","HR Rostering","hr_rostering","HR Rostering"
"base.module_indent_type","Indent Type","indent_type","Indent Type"
"base.module_install_appointment","Appointment Installation","install_appointment","Appointment Installation"
"base.module_install_cafeteria","Cafeteria Installation","install_cafeteria","Cafeteria Installation"
"base.module_install_emk","Install All Modules for EMK Organization","install_emk","Install All Modules for EMK Organization"
"base.module_install_event","Event Installation","install_event","Event Installation"
"base.module_install_hr","HR Installation","install_hr","HR Installation"
"base.module_install_inventory","Inventory Installation","install_inventory","Inventory Installation"
"base.module_install_member","Member Installation","install_member","Member Installation"
"base.module_inventory_user","Inventory Management Users","inventory_user","Inventory Management Users"
"base.module_l10n_generic_coa","Generic - Accounting","l10n_generic_coa","Generic - Accounting"
"base.module_l10n_in_hr_payroll","Indian Payroll","l10n_in_hr_payroll","Indian Payroll"
"base.module_login_access_error","Access Error Solution","login_access_error","Access Error Solution"
"base.module_mail_send","Send Mail ","mail_send","Send Mail "
"base.module_mass_editing","Mass Editing","mass_editing","Mass Editing"
"base.module_member_card_replacement","Membership Card Replacement","member_card_replacement","Membership Card Replacement"
"base.module_member_payment","Member Payments","member_payment","Member Payments"
"base.module_member_renew","Member Renew Module","member_renew","Member Renew Module"
"base.module_member_signup","Member Application","member_signup","Member Application"
"base.module_member_user","Membership Users","member_user","Membership Users"
"base.module_membership","Membership Management","membership","Membership Management"
"base.module_membership_card","Membership card","membership_card","Membership card"
"base.module_membership_extension","Membership extension","membership_extension","Membership extension"
"base.module_membership_remaining_days","Membership Remaining Days","membership_remaining_days","Membership Remaining Days"
"base.module_membership_variable_period","Variable period for memberships","membership_variable_period","Variable period for memberships"
"base.module_membership_withdrawal","Membership withdrawal","membership_withdrawal","Membership withdrawal"
"base.module_opa_utility","OPA Utility","opa_utility","OPA Utility"
"base.module_operating_unit","Operating Unit","operating_unit","Operating Unit"
"base.module_partner_fullname","Partner first name and last name","partner_fullname","Partner first name and last name"
"base.module_payment","Payment Acquirer","payment","Payment Acquirer"
"base.module_payment_transfer","Transfer Payment Acquirer","payment_transfer","Transfer Payment Acquirer"
"base.module_portal","Portal","portal","Portal"
"base.module_portal_sale","Portal Sale","portal_sale","Portal Sale"
"base.module_portal_stock","Portal Stock","portal_stock","Portal Stock"
"base.module_procurement","Procurements","procurement","Procurements"
"base.module_procurement_jit","Just In Time Scheduling","procurement_jit","Just In Time Scheduling"
"base.module_product","Products & Pricelists","product","Products & Pricelists"
"base.module_report","Report","report","Report"
"base.module_report_layout","Customer Report","report_layout","Customer Report"
"base.module_resource","Resource","resource","Resource"
"base.module_sale_stock","Sales and Warehouse Management","sale_stock","Sales and Warehouse Management"
"base.module_sales_team","Sales Teams","sales_team","Sales Teams"
"base.module_server_action_permission","Server Action Permission","server_action_permission","Server Action Permission"
"base.module_stock_indent","Indent Management","stock_indent","Indent Management"
"base.module_stock_operating_unit","Stock with Operating Units","stock_operating_unit","Stock with Operating Units"
