,Name,Parent,sequence,sign,type,style_overwrite
24510004,Interest Receivable on Secured Overdraft Work/ Supply Order C & S,Interest Receivable on Corporate & SME Continuous Loan,3,Preserve balance sign,Accounts,
24510005,Interest Receivable on Secured Overdraft Pay Order C & S,Interest Receivable on Corporate & SME Continuous Loan,4,Preserve balance sign,Accounts,
24510006,Interest Receivable on Secured Overdraft Real Estate C & S,Interest Receivable on Corporate & SME Continuous Loan,5,Preserve balance sign,Accounts,
24510007,Interest Receivable on Secured Overdraft Business C & S,Interest Receivable on Corporate & SME Continuous Loan,6,Preserve balance sign,Accounts,
24510008,Interest Receivable on Advance against Export Bill,Interest Receivable on Corporate & SME Continuous Loan,7,Preserve balance sign,Accounts,
24510009,Interest Receivable on Advance against Import Bill,Interest Receivable on Corporate & SME Continuous Loan,0,Preserve balance sign,View,
24510010,Interest Receivable on Secured Overdraft (Others)-Business [C&S],Interest Receivable on Corporate & SME Continuous Loan,0,Preserve balance sign,View,
24510011,Interest Receivable on Secured Overdraft (lP)-Business [C&S],Interest Receivable on Corporate & SME Continuous Loan,0,Preserve balance sign,View,
24511,Interest Receivable on SME Continuous Loan,Interest Receivable,10,Preserve balance sign,View,
24511001,Interest Receivable on MTB SME Cash Credit Hypo,Interest Receivable on SME Continuous Loan,0,Preserve balance sign,Accounts,
24511002,Interest Receivable on MTB Revolving Loan,Interest Receivable on SME Continuous Loan,1,Preserve balance sign,Accounts,
24511004,Interest Receivable on MTB Microfinance enterprise Revolving Loan,Interest Receivable on SME Continuous Loan,2,Preserve balance sign,Accounts,
24511005,Interest Receivable on MTB Light Engineering Revolving Loan,Interest Receivable on SME Continuous Loan,3,Preserve balance sign,Accounts,
24511006,Interest Receivable on MTB IT Genious Revolving Loan,Interest Receivable on SME Continuous Loan,4,Preserve balance sign,Accounts,
24511007,Interest Receivable on MTB Krishijat Revolving Loan,Interest Receivable on SME Continuous Loan,5,Preserve balance sign,Accounts,
24512,Interest Receivable on Other Loans & Assets,Interest Receivable,11,Preserve balance sign,View,
24512001,Interest Receivable on Debit Balance in Liability Accounts,Interest Receivable on Other Loans & Assets,0,Preserve balance sign,Accounts,
24513,Interest Receivable on Misc Demand Loans <C/S/R>,Interest Receivable,11,Preserve balance sign,View,
24513001,Interest Receivable on Foreign Cheque Purchased,Interest Receivable on Misc Demand Loans <C/S/R>,0,Preserve balance sign,Accounts,
24513002,Interest Receivable on Inland Cheque Purchased,Interest Receivable on Misc Demand Loans <C/S/R>,1,Preserve balance sign,Accounts,
24514,Interest Receivable on C&S Continuous Loan (FC),Interest Receivable,12,Preserve balance sign,View,
24514001,Interest Receivable on PAD EDF Loan,Interest Receivable on C&S Continuous Loan (FC),0,Preserve balance sign,Accounts,
24515,Interest Receivable on Bill Discounting/UPAS/ Buyer's Credit,Interest Receivable,13,Preserve balance sign,View,
24515001,Interest Receivable on Bill Discounting USD (OBU) Foreign,Interest Receivable on Bill Discounting/UPAS/ Buyer's Credit,0,Preserve balance sign,Accounts,
24515002,Interest Receivable on UPAS/ Buyer's Credit USD (OBU),Interest Receivable on Bill Discounting/UPAS/ Buyer's Credit,1,Preserve balance sign,Accounts,
24515003,Interest Receivable on Bill Discounting USD (OBU) Inland,Interest Receivable on Bill Discounting/UPAS/ Buyer's Credit,2,Preserve balance sign,Accounts,
24516,Interest Receivable <Miscellaneous>,Interest Receivable,14,Preserve balance sign,View,
24516001,Interest Receivable <Miscellaneous-Legacy>,Interest Receivable <Miscellaneous>,0,Preserve balance sign,Accounts,
24517,Interest Receivable on Agri Continuous Loan <SME>,Interest Receivable,15,Preserve balance sign,View,
24517001,Interest Receivable on MTB Microfinance Agri Revolving Loan,Interest Receivable on Agri Continuous Loan <SME>,0,Preserve balance sign,Accounts,
24518,Interest Reeivable on Agri Demand Loan SME,Interest Receivable,16,Preserve balance sign,View,
24518001,Intersest Receivable on MTB Krishi DL,Interest Reeivable on Agri Demand Loan SME,0,Preserve balance sign,Accounts,
246,Penal Interest Receivables,Loans & Advances,5,Preserve balance sign,View,
24601,Penal Interest Receivable on RTL,Penal Interest Receivables,0,Preserve balance sign,View,
24601001,Penal Interest Receivable on MTB Auto Loan,Penal Interest Receivable on RTL,0,Preserve balance sign,Accounts,
24601002,Penal Interest Receivable on MTB Home Loan,Penal Interest Receivable on RTL,1,Preserve balance sign,Accounts,
24601003,Penal Interest Receivable on MTB Home Equity Loan,Penal Interest Receivable on RTL,2,Preserve balance sign,Accounts,
24601004,Penal Interest Receivable on MTB NRB Home Loan,Penal Interest Receivable on RTL,3,Preserve balance sign,Accounts,
24601005,Penal Interest Receivable on MTB Neer,Penal Interest Receivable on RTL,4,Preserve balance sign,Accounts,
24601006,Penal Interest Receivable on MTB Personal Loan,Penal Interest Receivable on RTL,5,Preserve balance sign,Accounts,
24601007,Penal Interest Receivable on MTB Professional Loan,Penal Interest Receivable on RTL,6,Preserve balance sign,Accounts,
24601008,Penal Interest Receivable on Consumer Financing,Penal Interest Receivable on RTL,7,Preserve balance sign,Accounts,
24601009,Penal Interest Receivable on MTB EDU Finance (TL),Penal Interest Receivable on RTL,8,Preserve balance sign,Accounts,
24601011,Penal Interest Receivable on MTB Life Line,Penal Interest Receivable on RTL,0,Preserve balance sign,View,
24601012,Penal Interest Receivable on MTB Cash Line <RTL>,Penal Interest Receivable on RTL,10,Preserve balance sign,Accounts,
24601901,Penal Interest Receivable on MTB Personal Loan <DST>,Penal Interest Receivable on RTL,11,Preserve balance sign,Accounts,
24601902,Penal Interest Receivable on MTB Home Loan <DST>,Penal Interest Receivable on RTL,12,Preserve balance sign,Accounts,
24601903,Penal Interest Receivable on MTB Home Equity Loan <DST>,Penal Interest Receivable on RTL,13,Preserve balance sign,Accounts,
24601904,Penal Interest Receivable on Home Loan refinance,Penal Interest Receivable on RTL,14,Preserve balance sign,Accounts,
24601905,Penal Interest Receivable on Auto Loan (Old),Penal Interest Receivable on RTL,15,Preserve balance sign,Accounts,
24602,Penal Interest Receivable on Staff Loans,Penal Interest Receivables,1,Preserve balance sign,View,
24602001,Penal Interest Receivable on Car Loan (Employee),Penal Interest Receivable on Staff Loans,0,Preserve balance sign,Accounts,
24602002,Penal Interest Receivable on Employees House Building Loan,Penal Interest Receivable on Staff Loans,1,Preserve balance sign,Accounts,
24602003,Penal Interest Receivable on Staff Loan Aganist Prov. Fund,Penal Interest Receivable on Staff Loans,2,Preserve balance sign,Accounts,
24602004,Penal Interest Receivable on Staff Personal Loan,Penal Interest Receivable on Staff Loans,3,Preserve balance sign,Accounts,
24603,Penal Interest Receivable on Corp & SME Term Loan,Penal Interest Receivables,2,Preserve balance sign,View,
24603001,Lease Finance (Monthly) Rental receivables Penal,Penal Interest Receivable on Corp & SME Term Loan,0,Preserve balance sign,Accounts,
24603002,Lease Finance (Quarterly) Rental receivables Penal,Penal Interest Receivable on Corp & SME Term Loan,1,Preserve balance sign,Accounts,
24603003,Penal Interest Receivable on House Building Loan <Developer>,Penal Interest Receivable on Corp & SME Term Loan,2,Preserve balance sign,Accounts,
24603004,Penal Interest Receivable on House Building Loan <Commercial>,Penal Interest Receivable on Corp & SME Term Loan,3,Preserve balance sign,Accounts,
24603005,Penal Interest Receivable on Term Loan Non-Industrial,Penal Interest Receivable on Corp & SME Term Loan,4,Preserve balance sign,Accounts,
24603006,Penal Interest Receivable on Term Loan Industrial,Penal Interest Receivable on Corp & SME Term Loan,5,Preserve balance sign,Accounts,
24603007,Penal Interest Receivable on House Building Loan-Residential [C&S],Penal Interest Receivable on Corp & SME Term Loan,6,Preserve balance sign,Accounts,
24603008,Penal Interest Receivable on Term Loan-IPFF Fund,Penal Interest Receivable on Corp & SME Term Loan,7,Preserve balance sign,Accounts,
24603009,Penal Interest Receivable on Term Loan-LTFF,Penal Interest Receivable on Corp & SME Term Loan,8,Preserve balance sign,Accounts,
24603010,Penal Interest Receivable on Term Loan-by OBU USD,Penal Interest Receivable on Corp & SME Term Loan,9,Preserve balance sign,Accounts,
24603011,PIR on Converted Term Loan fm Term Loan [C&S],Penal Interest Receivable on Corp & SME Term Loan,10,Preserve balance sign,Accounts,
24603012,PIR onConverted Term Loan fm DL & Continuous Loan [C&S],Penal Interest Receivable on Corp & SME Term Loan,11,Preserve balance sign,Accounts,
24604,Penal Interest Receivable on SME Term Loan excl Agri & MF,Penal Interest Receivables,3,Preserve balance sign,View,
24604001,Penal Interest Receivable on MTB Digoon,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,Accounts,
24604002,Penal Interest Receivable on Small Business Loan Scheme,Penal Interest Receivable on SME Term Loan excl Agri & MF,1,Preserve balance sign,Accounts,
24604003,Penal Interest Receivable on MTB Life Line,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24604004,Penal Interest Receivable on Micro-finance <Ent.-TL>,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24604005,Penal Interest Receivable on MTB Inclusive Finance,Penal Interest Receivable on SME Term Loan excl Agri & MF,4,Preserve balance sign,Accounts,
24604006,Penal Interest Receivable on MTB Bhagyaboti <Re-finance>,Penal Interest Receivable on SME Term Loan excl Agri & MF,5,Preserve balance sign,Accounts,
24604007,Penal Interest Receivable on MTB Gunaboti <Pre-finance>,Penal Interest Receivable on SME Term Loan excl Agri & MF,6,Preserve balance sign,Accounts,
24604008,Penal Interest Receivable on MTB Green Energy,Penal Interest Receivable on SME Term Loan excl Agri & MF,7,Preserve balance sign,Accounts,
24604009,Penal Interest Receivable on MTB IT Geniuos,Penal Interest Receivable on SME Term Loan excl Agri & MF,8,Preserve balance sign,Accounts,
24604010,Penal Interest Receivable on MTB Krishijat,Penal Interest Receivable on SME Term Loan excl Agri & MF,9,Preserve balance sign,Accounts,
24604011,Penal Interest Receivable on MTB Light Engineering,Penal Interest Receivable on SME Term Loan excl Agri & MF,10,Preserve balance sign,Accounts,
24604012,Penal Interest Receivable on MTB Small Business Loan Scheme Unsecured,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24604013,Penal Interest Receivable on MTB Youth Line,Penal Interest Receivable on SME Term Loan excl Agri & MF,12,Preserve balance sign,Accounts,
24604014,Penal Interest Receivable on MTB Green Energy Unsecured,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24604015,Penal Interest Receivable on MTB Krishijat (TL) Unsecured,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24604016,Penal Interest Receivable on MTB Light Engineering (TL) Unsecured,Penal Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24605,Penal Interest Receivable on Agri Term Loan <SME>,Penal Interest Receivables,4,Preserve balance sign,View,
24605001,Penal Interest Receivable on Microfinance <Agri-TL>,Penal Interest Receivable on Agri Term Loan <SME>,0,Preserve balance sign,Accounts,
24605002,Penal Interest Receivable on MTB Krishi (TL),Penal Interest Receivable on Agri Term Loan <SME>,1,Preserve balance sign,Accounts,
24606,Penal Interest Receivable on Corporate & SME Demand Loan,Penal Interest Receivables,5,Preserve balance sign,View,
24606001,Penal Interest Receivable on Demand Loan General,Penal Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,Accounts,
24606002,Penal Interest Receivable on Demand Loan Forced,Penal Interest Receivable on Corporate & SME Demand Loan,1,Preserve balance sign,Accounts,
24606003,Penal Interest Receivable on Demand Loan Short Term,Penal Interest Receivable on Corporate & SME Demand Loan,2,Preserve balance sign,Accounts,
24606004,Penal Interest Receivable on Demand Loan Time,Penal Interest Receivable on Corporate & SME Demand Loan,3,Preserve balance sign,Accounts,
24606005,Penal Interest Receivable on Payment Aganist Document,Penal Interest Receivable on Corporate & SME Demand Loan,4,Preserve balance sign,Accounts,
24606006,Penal Interest Receivable on Payment Against Document (B-to-B),Penal Interest Receivable on Corporate & SME Demand Loan,5,Preserve balance sign,Accounts,
24606007,Penal Interest Receivable on Inland Doc. Bill Purchased <Sight>,Penal Interest Receivable on Corporate & SME Demand Loan,6,Preserve balance sign,Accounts,
24606008,Penal Interest Receivable on Inland Doc. Bill Discounted <Usance> C,Penal Interest Receivable on Corporate & SME Demand Loan,7,Preserve balance sign,Accounts,
24606010,Penal Interest Receivable on Foreign D.B Purchased <Sight>,Penal Interest Receivable on Corporate & SME Demand Loan,8,Preserve balance sign,Accounts,
24606011,Penal Interest Receivable on Foreign D.B Discounted <Usance>,Penal Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,View,
24606013,Penal Interest Receivable on Loan Against Trust Receipt,Penal Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,View,
24606014,Penal Interest Receivable on Cash Aganist Document DL,Penal Interest Receivable on Corporate & SME Demand Loan,11,Preserve balance sign,Accounts,
24606015,Penal Interest Receivable on Demand Loan Garments,Penal Interest Receivable on Corporate & SME Demand Loan,12,Preserve balance sign,Accounts,
24606016,Penal Interest Receivable on Packing Credit,Penal Interest Receivable on Corporate & SME Demand Loan,13,Preserve balance sign,Accounts,
24606017,Penal Interest Receivable on Advance Against Cash Incentive,Penal Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,View,
24606018,Penal Interest Receivable on Secured Overdraft Genl Business DL,Penal Interest Receivable on Corporate & SME Demand Loan,15,Preserve balance sign,Accounts,
24607,Penal Interest Receivable on Corporate & SME Demand Loan FC,Penal Interest Receivables,6,Preserve balance sign,View,
24607001,Penal Interest Receivable on EDF Loan <USD>,Penal Interest Receivable on Corporate & SME Demand Loan FC,0,Preserve balance sign,Accounts,
24608,Penal Interest Receivable on SME Demand Loan,Penal Interest Receivables,7,Preserve balance sign,View,
24608001,Penal Interest Receivable on Demand Loans against Rural Credit,Penal Interest Receivable on SME Demand Loan,0,Preserve balance sign,Accounts,
24608002,Penal Interest Receivable on MTB Supply Chain Finance <SME> DL,Penal Interest Receivable on SME Demand Loan,1,Preserve balance sign,Accounts,
24608003,Penal Interest Receivable on MTB Mousumi,Penal Interest Receivable on SME Demand Loan,0,Preserve balance sign,View,
24609,Penal Interest Receivable on Retail Continuous Loan,Penal Interest Receivables,8,Preserve balance sign,View,
24609001,Penal Interest Receivable on Secured Overdraft against Bank's own TD,Penal Interest Receivable on Retail Continuous Loan,0,Preserve balance sign,Accounts,
24609002,Penal Interest Receivable on Secured Overdraft against other Bank's TD,Penal Interest Receivable on Retail Continuous Loan,1,Preserve balance sign,Accounts,
24609003,Penal Interest Receivable on Secured Overdraft against Shares etc.,Penal Interest Receivable on Retail Continuous Loan,2,Preserve balance sign,Accounts,
24609004,Penal Interest Receivable on MTB EDU Finance - Over Draft (Revolving),Penal Interest Receivable on Retail Continuous Loan,3,Preserve balance sign,Accounts,
24609005,Penal Interest Receivable on MTB Cash Line <ROD>,Penal Interest Receivable on Retail Continuous Loan,4,Preserve balance sign,Accounts,
24610,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,Penal Interest Receivables,9,Preserve balance sign,Accounts,
24610001,Penal Interest Receivable on Corporate Cash Credit Hypo,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,0,Preserve balance sign,Accounts,
24610002,Penal Interest Receivable on SOD (Shares & Debentures) C&S,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,1,Preserve balance sign,Accounts,
24610003,Penal Interest Receivable on SOD (FO) WBD C&S,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,2,Preserve balance sign,Accounts,
24610004,Penal Interest Receivable on Secured Overdraft Work/ Supply Order C & S,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,3,Preserve balance sign,Accounts,
24610005,Penal Interest Receivable on Secured Overdraft Pay Order C & S,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,4,Preserve balance sign,Accounts,
24610006,Penal Interest Receivable on Secured Overdraft Real Estate C & S,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,5,Preserve balance sign,Accounts,
24610007,Penal Interest Receivable on Secured Overdraft Business C & S,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,6,Preserve balance sign,Accounts,
24610008,Penal Interest Receivable on Advance against Export Bill,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,7,Preserve balance sign,Accounts,
24610009,Penal Interest Receivable on Advance against Import Bill,Penal Interest Receivable on Corporate &/ or SME Continuous Loan,8,Preserve balance sign,Accounts,
24610010,Penal Interest Receivable on Secured Overdraft (Others)-Business [C&S],Penal Interest Receivable on Corporate &/ or SME Continuous Loan,0,Preserve balance sign,View,
24610011,Penal Interest Receivable on Secured Overdraft (lP)-Business [C&S],Penal Interest Receivable on Corporate &/ or SME Continuous Loan,0,Preserve balance sign,View,
24611,Penal Interest Receivable on SME Continuous Loan,Penal Interest Receivables,10,Preserve balance sign,View,
24611001,Penal Interest Receivable on MTB SME Cash Credit Hypo,Penal Interest Receivable on SME Continuous Loan,0,Preserve balance sign,Accounts,
24611002,Penal Interest Receivable on MTB Revolving Loan,Penal Interest Receivable on SME Continuous Loan,1,Preserve balance sign,Accounts,
24611004,Penal Interest Receivable on MTB Microfinance enterprise Revolving Loan,Penal Interest Receivable on SME Continuous Loan,2,Preserve balance sign,Accounts,
24611005,Penal Interest Receivable on MTB Light Engineering Revolving Loan,Penal Interest Receivable on SME Continuous Loan,3,Preserve balance sign,Accounts,
24611006,Penal Interest Receivable on MTB IT Genious Revolving Loan,Penal Interest Receivable on SME Continuous Loan,4,Preserve balance sign,Accounts,
24611007,Penal Interest Receivable on MTB Krishijat Revolving Loan,Penal Interest Receivable on SME Continuous Loan,5,Preserve balance sign,Accounts,
24613,Penal Interest Receivable on Misc Deman Loans C/S/R,Penal Interest Receivables,11,Preserve balance sign,View,
24613001,Penal Interest Receivable <overdue> on Foreign Cheque Purchased,Penal Interest Receivable on Misc Deman Loans C/S/R,0,Preserve balance sign,Accounts,
24613002,Penal Interest Receivable <overdue> on Inland Cheque Purchased,Penal Interest Receivable on Misc Deman Loans C/S/R,0,Preserve balance sign,Accounts,
24614,Penal Interest Receivable on Misc Deman Loans C/S/R,Penal Interest Receivables,11,Preserve balance sign,View,
24614001,IR on PAD EDF Loan USD,Penal Interest Receivable on Misc Deman Loans C/S/R,0,Preserve balance sign,Accounts,
24615,Penal Interest Receivable on Bill Discounting /UPAS/ Buyer's Credit FC (OBU)Foreign,Penal Interest Receivables,13,Preserve balance sign,View,
24615001,Penal Interest Receivable on Bill Discounting USD (OBU Foreign,Penal Interest Receivable on Bill Discounting /UPAS/ Buyer's Credit FC (OBU)Foreign,0,Preserve balance sign,Accounts,
24615002,Penal Interest Receivable on UPAS/ Buyer's Credit USD (OBU),Penal Interest Receivable on Bill Discounting /UPAS/ Buyer's Credit FC (OBU)Foreign,1,Preserve balance sign,Accounts,
24615003,Penal Interest Receivable on Bill Discounting USD (OBU) Inland,Penal Interest Receivable on Bill Discounting /UPAS/ Buyer's Credit FC (OBU)Foreign,2,Preserve balance sign,Accounts,
24616,Penal Interest Receivable on Agri Continuous Loan [SME],Penal Interest Receivables,14,Preserve balance sign,View,
24616001,Penal Interest Receivable on MTB Microfinance Agri Revolving Loan,Penal Interest Receivable on Agri Continuous Loan [SME],0,Preserve balance sign,Accounts,
24617,Penal Interest Receivable on Agri Demand Loan [SME],Penal Interest Receivables,15,Preserve balance sign,View,
24617001,Penal Interest Receivable on MTB Krishi DL,Penal Interest Receivable on Agri Demand Loan [SME],0,Preserve balance sign,Accounts,
247,OBU Loans & Advances,Loans & Advances,6,Preserve balance sign,View,
24701,OBU Bill discounting FC,OBU Loans & Advances,0,Preserve balance sign,Accounts,
24701001,Foreign Bill Discounting USD,OBU Bill discounting FC,0,Preserve balance sign,Accounts,
24701002,Inland Bill Discounting USD,OBU Bill discounting FC,1,Preserve balance sign,Accounts,
24702,OBU UPAS/ Buyer's Credit FC,OBU Loans & Advances,1,Preserve balance sign,View,
24702001,UPAS/ Buyer's Credit USD,OBU UPAS/ Buyer's Credit FC,0,Preserve balance sign,Accounts,
248,Other Loans & Assets,Loans & Advances,7,Preserve balance sign,View,
24801,Other Loans & Assets,Loans & Advances,7,Preserve balance sign,View,
24801001,Debit Balance in Libility Accounts,Other Loans & Assets,0,Preserve balance sign,Accounts,
25,Fixed Assets,Assets,4,Preserve balance sign,View,
251,Tangible Fixed Assets,Fixed Assets,0,Preserve balance sign,View,
25101,Immovable Property,Tangible Fixed Assets,0,Preserve balance sign,View,
25101001,Land,Immovable Property,0,Preserve balance sign,Accounts,
25101002,Building,Immovable Property,1,Preserve balance sign,Accounts,
25102,Furniture & Fixture,Tangible Fixed Assets,1,Preserve balance sign,View,
25102001,Fixture,Furniture & Fixture,0,Preserve balance sign,Accounts,
25102002,Furniture,Furniture & Fixture,1,Preserve balance sign,Accounts,
25103,Office Equipments,Tangible Fixed Assets,2,Preserve balance sign,View,
25103001,Electrical Equipments,Office Equipments,0,Preserve balance sign,Accounts,
25103002,Other Office Equipments,Office Equipments,1,Preserve balance sign,View,
25104,Computers,Tangible Fixed Assets,3,Preserve balance sign,View,
25104001,Computers & Peripherals,Computers,0,Preserve balance sign,Accounts,
25105,Motor Vehicles,Tangible Fixed Assets,4,Preserve balance sign,View,
25105001,Motor Cars,Motor Vehicles,0,Preserve balance sign,Accounts,
25105002,Motor Cycles,Motor Vehicles,1,Preserve balance sign,Accounts,
252,Intangible Assets,Fixed Assets,1,Preserve balance sign,View,
25201,Intangible Assets,Intangible Assets,1,Preserve balance sign,View,
25201001,Software,Intangible Assets,0,Preserve balance sign,Accounts,
26,Other Assets,Assets,5,Preserve balance sign,View,
261,Adjustment Account,Other Assets,0,Preserve balance sign,View,
26101,Adjusting A/C Debit,Adjustment Account,0,Preserve balance sign,View,
26101001,Adjusting A/C Debit,Adjusting A/C Debit,0,Preserve balance sign,View,
26101002,Adjusting A/C Debit USD OBU,Adjusting A/C Debit,1,Preserve balance sign,Accounts,
26102,Clearing House Adjustment,Adjustment Account,0,Preserve balance sign,View,
26102001,Clearing House Adjustment,Clearing House Adjustment,0,Preserve balance sign,View,
26103,Coupon Interest Adjustment Account,Adjustment Account,1,Preserve balance sign,View,
26103001,Coupon Interest Adjustment Account,Coupon Interest Adjustment Account,1,Preserve balance sign,View,
262,Advances,Adjustment Account,1,Preserve balance sign,View,
26201001,Advance paid to Employees,Advances,0,Preserve balance sign,Accounts,
26202001,Advance against Suppliers/ Parties <Vendors>,Advances,1,Preserve balance sign,Accounts,
26203001,Advance Deposit,Advances,2,Preserve balance sign,Accounts,
26204001,Advance Income Tax,Advances,3,Preserve balance sign,Accounts,
26205001,Advance Remuneration/Salary,Advances,4,Preserve balance sign,Accounts,
26206001,Advance Rent <Advance Rent_less than 1 year>,Advances,5,Preserve balance sign,Accounts,
26206002,Advance Rent <Advance Rent_more than 1 year>,Advances,0,Preserve balance sign,View,
26207001,Advance pymt to construction of HO bldg,Advances,5,Preserve balance sign,Accounts,
26208001,Advance against TA/DA,Advances,8,Preserve balance sign,Accounts,
26209001,Advance against POSTAGE,Advances,9,Preserve balance sign,View,
26210001,Advance against PETTY CASH,Advances,0,Preserve balance sign,View,
265,Receivable from Subsidiaries,Other Assets,2,Preserve balance sign,View,
26501001,Receivable from Subsidiaries,Receivable from Subsidiaries,2,Preserve balance sign,View,
26501002,Receivable from Subsidiaries Others,Receivable from Subsidiaries,1,Preserve balance sign,Accounts,
266,Suspense Account,Other Assets,3,Preserve balance sign,View,
26601001,Chargeback Settlement A/c,Suspense Account,0,Preserve balance sign,Accounts,
26602001,Sundry Debtors,Suspense Account,1,Preserve balance sign,Accounts,
26603001,Sanchay Patra (Encashed/Interest Paid),Suspense Account,2,Preserve balance sign,Accounts,
26604001,Legal Expense,Suspense Account,3,Preserve balance sign,Accounts,
26605001,Economic Exchange Centre,Suspense Account,4,Preserve balance sign,Accounts,
26608001,Remittance Payment Account,Suspense Account,5,Preserve balance sign,View,
26609001,DD Paid Without Advice,Suspense Account,6,Preserve balance sign,Accounts,
26610001,DD CANCELLED,Suspense Account,7,Preserve balance sign,Accounts,
267,Receivable from OBU,Other Assets,4,Preserve balance sign,View,
26701001,Receivable from OBU,Receivable from OBU,4,Preserve balance sign,View,
268,Miscellaneous Other Assets,Other Assets,5,Preserve balance sign,View,
26801001,Preliminary Expenses,Miscellaneous Other Assets,0,Preserve balance sign,Accounts,
26803001,Prepaid Promotional and Development Expenses,Miscellaneous Other Assets,1,Preserve balance sign,Accounts,
26804001,Stamps in Hand,Miscellaneous Other Assets,2,Preserve balance sign,Accounts,
26805001,Stock of Commemorative Coins,Miscellaneous Other Assets,3,Preserve balance sign,Accounts,
26806001,Stock of Fixed Assets,Miscellaneous Other Assets,4,Preserve balance sign,Accounts,
26807001,Printed stationeries,Miscellaneous Other Assets,5,Preserve balance sign,Accounts,
26807002,Security Stationeries,Miscellaneous Other Assets,6,Preserve balance sign,Accounts,
26808001,Transit Account _Repo,Miscellaneous Other Assets,7,Preserve balance sign,Accounts,
26808002,Transit Account Bangladesh Bank,Miscellaneous Other Assets,8,Preserve balance sign,Accounts,
26809001,Deferred Tax Asset,Miscellaneous Other Assets,9,Preserve balance sign,Accounts,
26810001,Protested Bills,Miscellaneous Other Assets,10,Preserve balance sign,Accounts,
269,Miscellaneous Assets created for Migration,Other Assets,6,Preserve balance sign,View,
26999001,Miscellaneous Assets created for Migration,Miscellaneous Assets created for Migration,6,Preserve balance sign,View,
4,Expenditure (41101001 - 43301001),Statement of Affairs,12,Preserve balance sign,Accounts,
61,Contra,Assets,0,Preserve balance sign,View,
611,Bills sent for collection,Contra,0,Preserve balance sign,View,
61101001,Foreign Bills sent for collection,Bills sent for collection,0,Preserve balance sign,Accounts,
61101002,Foreign Cheques sent for collection,Bills sent for collection,1,Preserve balance sign,Account Type,
61102001,Inland Bills sent for collection,Bills sent for collection,2,Preserve balance sign,Account Type,
61102002,Inland Cheques sent for collection,Bills sent for collection,3,Preserve balance sign,Account Type,
612,Bills received for Collection,Contra,2,Preserve balance sign,View,
61201001,Foreign Bills recvd. for collection,Bills received for Collection,0,Preserve balance sign,Account Type,
61201002,Foreign Cheques recvd. for collection,Bills received for Collection,1,Preserve balance sign,Accounts,
61202001,Inland Bills received for collection,Bills received for Collection,2,Preserve balance sign,Accounts,
61202002,Inland Cheques received for collection,Bills received for Collection,3,Preserve balance sign,View,
613,Forward Contract,Contra,3,Preserve balance sign,View,
61301001,Forward Contract Cus. USD Purchase,Forward Contract,0,Preserve balance sign,Accounts,
61302001,Forward Contract Cus. USD Sale,Forward Contract,1,Preserve balance sign,Accounts,
62,Contingent,Contra,1,Preserve balance sign,View,
621,Bank Guarantee <Contingent>,Contingent,0,Preserve balance sign,Accounts,
62101001,Customers' Liability on BG Outward Performance (Inland),Bank Guarantee <Contingent>,0,Preserve balance sign,Accounts,
62101002,Customers' Liability on BG Outward Financial (Inland),Bank Guarantee <Contingent>,0,Preserve balance sign,View,
62101003,Customers' Liability on BG Outward Bidbond (Inland),Bank Guarantee <Contingent>,2,Preserve balance sign,Accounts,
62102001,Customers' Liability on BG Outward Performance (Foreign),Bank Guarantee <Contingent>,0,Preserve balance sign,View,
62102002,Customers' Liability on BG Outward Financial (Foreign),Bank Guarantee <Contingent>,0,Preserve balance sign,View,
62102003,Customers' Liability on BG Outward Bid bond (Foreign),Bank Guarantee <Contingent>,0,Preserve balance sign,View,
62103001,Customers' Liability on BG Outward Performance (Foreign) <OBU>,Bank Guarantee <Contingent>,0,Preserve balance sign,View,
62103002,Customers' Liability on BG Outward Financial (Foreign) <OBU>,Bank Guarantee <Contingent>,0,Preserve balance sign,View,
62103003,Customers' Liability on BG Outward DPG (Foreign) <OBU>,Bank Guarantee <Contingent>,0,Preserve balance sign,View,
622,Letter of Credit <Contingent>,Contingent,1,Preserve balance sign,View,
