,Name,Parent,sequence,sign,type,style_overwrite
24101901,MTB Personal Loan <DST>,Retail Term Loans <excl. Staff Loans>,12,Preserve balance sign,Accounts,
24101902,MTB Home Loan <DST>,Retail Term Loans <excl. Staff Loans>,13,Preserve balance sign,Accounts,
24101903,MTB Home Equity Loan <DST>,Retail Term Loans <excl. Staff Loans>,14,Preserve balance sign,Accounts,
24101904,Home Loan refinance,Retail Term Loans <excl. Staff Loans>,15,Preserve balance sign,Accounts,
24101905,Auto Loan (Old),Retail Term Loans <excl. Staff Loans>,16,Preserve balance sign,Accounts,
24102,Retail Term Loans <Staff>,Term Loans,1,Preserve balance sign,View,
24102001,Staff Auto Loan,Retail Term Loans <Staff>,0,Preserve balance sign,Accounts,
24102002,Staff Housing Loan,Retail Term Loans <Staff>,1,Preserve balance sign,Accounts,
24102003,Staff Loan Against Prov. Fund,Retail Term Loans <Staff>,2,Preserve balance sign,Accounts,
24102004,Staff Personal Loan,Retail Term Loans <Staff>,3,Preserve balance sign,Accounts,
24103,Corporate & SME Term Loan,Term Loans,2,Preserve balance sign,View,
24103001,House Building Loan <Developer>,Corporate & SME Term Loan,0,Preserve balance sign,Accounts,
24103002,Lease Finance (Monthly) [C&S],Corporate & SME Term Loan,1,Preserve balance sign,Accounts,
24103003,Lease Finance (Quarterly) [C&S],Corporate & SME Term Loan,2,Preserve balance sign,Accounts,
24103004,House Building Loan <Commercial>,Corporate & SME Term Loan,3,Preserve balance sign,Accounts,
24103005,Term Loan Non Industrial [C&S],Corporate & SME Term Loan,4,Preserve balance sign,Accounts,
24103006,Term Loan Industrial [C&S],Corporate & SME Term Loan,5,Preserve balance sign,Accounts,
24103007,House Building Loan-Residential [C&S],Corporate & SME Term Loan,6,Preserve balance sign,Accounts,
24103008,Term Loan-IPFF Fund,Corporate & SME Term Loan,7,Preserve balance sign,Accounts,
24103009,Term Loan-LTFF,Corporate & SME Term Loan,8,Preserve balance sign,Accounts,
24103010,Term Loan-by OBU USD,Corporate & SME Term Loan,9,Preserve balance sign,Accounts,
24104,SME Term Loan excl Agri & Micro Fin.,Term Loans,3,Preserve balance sign,View,
24104001,MTB Digoon,SME Term Loan excl Agri & Micro Fin.,0,Preserve balance sign,Accounts,
24104002,MTB Small Business Loan Scheme,SME Term Loan excl Agri & Micro Fin.,1,Preserve balance sign,Accounts,
24104003,MTB Youth Line,SME Term Loan excl Agri & Micro Fin.,2,Preserve balance sign,Accounts,
24104004,Microfinance <Enterprise-TL>,SME Term Loan excl Agri & Micro Fin.,3,Preserve balance sign,Accounts,
24104005,Microfinance Scheme (Ent. -TL) <SME>,SME Term Loan excl Agri & Micro Fin.,0,Preserve balance sign,View,
24104006,MTB Bhagyabati <Refinance>,SME Term Loan excl Agri & Micro Fin.,5,Preserve balance sign,Accounts,
24104007,MTB Gunabati <pre-finance>,SME Term Loan excl Agri & Micro Fin.,6,Preserve balance sign,Accounts,
24104008,MTB Green Energy,SME Term Loan excl Agri & Micro Fin.,7,Preserve balance sign,Accounts,
24104009,MTB IT Genius (TL),SME Term Loan excl Agri & Micro Fin.,8,Preserve balance sign,Accounts,
24104010,MTB Krishijat (TL),SME Term Loan excl Agri & Micro Fin.,9,Preserve balance sign,Accounts,
24104011,MTB Light Engineering (TL),SME Term Loan excl Agri & Micro Fin.,10,Preserve balance sign,Accounts,
24104012,MTB Small Business Loan Scheme Unsecured,SME Term Loan excl Agri & Micro Fin.,11,Preserve balance sign,Accounts,
24104013,MTB Shachal,SME Term Loan excl Agri & Micro Fin.,12,Preserve balance sign,Accounts,
24104014,MTB Green Energy Unsecured,SME Term Loan excl Agri & Micro Fin.,13,Preserve balance sign,Accounts,
24104015,MTB Krishijat (TL) Unsecured,SME Term Loan excl Agri & Micro Fin.,14,Preserve balance sign,Accounts,
24104016,MTB Light Engineering (TL) Unsecured,SME Term Loan excl Agri & Micro Fin.,15,Preserve balance sign,Accounts,
24105,Agri Term Loan <SME>,Term Loans,4,Preserve balance sign,View,
24105001,Microfinance <Agri-TL>,Agri Term Loan <SME>,0,Preserve balance sign,Accounts,
24105002,MTB Krishi TL,Agri Term Loan <SME>,1,Preserve balance sign,Accounts,
242,Demand Loans,Loans & Advances,1,Preserve balance sign,View,
24201,Corporate & SME Demand Loan,Demand Loans,0,Preserve balance sign,View,
24201001,Demand Loan General,Corporate & SME Demand Loan,0,Preserve balance sign,Accounts,
24201002,Demand Loan <Forced>,Corporate & SME Demand Loan,1,Preserve balance sign,Accounts,
24201003,Demand Loan Short Term,Corporate & SME Demand Loan,2,Preserve balance sign,Accounts,
24201004,Demand Loan Time,Corporate & SME Demand Loan,3,Preserve balance sign,Accounts,
24201005,Payment Aganist Document <PAD>,Corporate & SME Demand Loan,4,Preserve balance sign,Accounts,
24201006,Payment Against Document (Back to Back),Corporate & SME Demand Loan,5,Preserve balance sign,Accounts,
24201007,Inland Doc. Bill Purchased <Sight>,Corporate & SME Demand Loan,6,Preserve balance sign,Accounts,
24201008,Inland Doc. Bill Discounted <Usance>,Corporate & SME Demand Loan,0,Preserve balance sign,View,
24201010,Foreign Demand Bill Purchased <Sight>,Corporate & SME Demand Loan,8,Preserve balance sign,Accounts,
24201011,Foreign Demand Bill Discounted <Usance>,Corporate & SME Demand Loan,0,Preserve balance sign,View,
24201013,Loan against Trust Receipt,Corporate & SME Demand Loan,0,Preserve balance sign,View,
24201014,Advance against Cash Incentive,Corporate & SME Demand Loan,0,Preserve balance sign,View,
24201015,Cash Aganist Document DL,Corporate & SME Demand Loan,12,Preserve balance sign,Accounts,
24201016,Secured Overdraft Garments <DL>,Corporate & SME Demand Loan,13,Preserve balance sign,Accounts,
24201017,Packing Credit Loan DL,Corporate & SME Demand Loan,14,Preserve balance sign,Accounts,
24201018,Secured Overdraft Genl Business DL,Corporate & SME Demand Loan,15,Preserve balance sign,Accounts,
24202,Corporate & SME Demand Loan <FC>,Demand Loans,1,Preserve balance sign,View,
24202001,Loan under EDF DL FC,Corporate & SME Demand Loan <FC>,0,Preserve balance sign,Accounts,
24202002,PAD EDF FC DL,Corporate & SME Demand Loan <FC>,0,Preserve balance sign,View,
24203,SME Demand Loan,Demand Loans,2,Preserve balance sign,View,
24203001,Loans against Rural Credit <SME> DL,SME Demand Loan,0,Preserve balance sign,Accounts,
24203002,MTB Supply Chain Finance <SME> DL,SME Demand Loan,1,Preserve balance sign,Accounts,
24203003,MTB Mousumi,SME Demand Loan,2,Preserve balance sign,Accounts,
24204,Misc Demand Loans <C/S/R>,Demand Loans,3,Preserve balance sign,View,
24204001,Foreign Cheque Purchased,Misc Demand Loans <C/S/R>,0,Preserve balance sign,Accounts,
24204002,Inland Cheque Purchased,Misc Demand Loans <C/S/R>,1,Preserve balance sign,Accounts,
24205,Agri Demand Loan (SME),Demand Loans,4,Preserve balance sign,View,
24205001,MTB Krishi DL,Agri Demand Loan (SME),0,Preserve balance sign,Accounts,
243,Continuous Loans,Loans & Advances,2,Preserve balance sign,View,
24301,Retail Continuous Loans,Continuous Loans,0,Preserve balance sign,View,
24301001,Secured Overdraft (FO) against Bank's own TD,Retail Continuous Loans,0,Preserve balance sign,Accounts,
24301002,Secured Overdraft against other Bank's TD,Retail Continuous Loans,1,Preserve balance sign,Accounts,
24301003,Secured Overdraft (FO) against Shares etc.,Retail Continuous Loans,2,Preserve balance sign,Accounts,
24301004,MTB EDU Finance - Over Draft (Revolving),Retail Continuous Loans,3,Preserve balance sign,Accounts,
24301005,MTB Cash Line <ROD>,Retail Continuous Loans,4,Preserve balance sign,Accounts,
24302,Corporate & SME Continuous Loan,Continuous Loans,1,Preserve balance sign,View,
24302001,Corporate Cash Credit (Hypo),Corporate & SME Continuous Loan,0,Preserve balance sign,Accounts,
24302002,Secured Overdraft (Shares and Debenture) [C&S],Corporate & SME Continuous Loan,1,Preserve balance sign,Accounts,
24302003,Secured Overdraft (FO)-WBD [C&S],Corporate & SME Continuous Loan,0,Preserve balance sign,View,
