id,location_id/id,name,company_id/id,line_ids/product_id/id,line_ids/product_qty,line_ids/product_uom_id/id,line_ids/location_id/id
,,,,__export__.product_product_24948,1650,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24949,1100,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24950,1200,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24951,750,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24952,1950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24953,2050,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24954,900,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24955,2650,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24956,1400,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24957,750,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24958,1400,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24959,1350,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24960,1350,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24961,1550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24962,2150,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24963,1200,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24964,1150,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24965,750,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24966,2050,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24967,1550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24968,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24969,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24970,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24971,750,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24972,1700,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24973,450,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24974,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24975,250,product.product_uom_unit,__export__.stock_location_37
