id,name,product_variant_ids/id,id,line_ids/product_qty,type,uom_po_id/id,uom_id/id,line_ids/product_qty
__export__.product_product_24910,time revolution ninght repair borabit ampoule,__export__.product_product_24910,__export__.product_product_24910,6500,product,product.product_uom_unit,product.product_uom_unit,6500
__export__.product_product_24911,Time revolution the first treatment essence,__export__.product_product_24911,__export__.product_product_24911,3300,product,product.product_uom_unit,product.product_uom_unit,3300
__export__.product_product_24912,Time revolution white cure blanc tone-up cream,__export__.product_product_24912,__export__.product_product_24912,3000,product,product.product_uom_unit,product.product_uom_unit,3000
__export__.product_product_24913,Time revolution white cure blanc tone-up toner,__export__.product_product_24913,__export__.product_product_24913,2600,product,product.product_uom_unit,product.product_uom_unit,2600
__export__.product_product_24914,Time revolution white cure special set 1,__export__.product_product_24914,__export__.product_product_24914,1700,product,product.product_uom_unit,product.product_uom_unit,1700
__export__.product_product_24915,Truly Freely(Face Foundation) ,__export__.product_product_24915,__export__.product_product_24915,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24916,Winking Hour (Eye Cream) ,__export__.product_product_24916,__export__.product_product_24916,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24917,Wonder pore freshner (500ml),__export__.product_product_24917,__export__.product_product_24917,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24918,Elf hypershine lipgloss,__export__.product_product_24918,__export__.product_product_24918,1600,product,product.product_uom_unit,product.product_uom_unit,1600
__export__.product_product_24919,Elf Mineral eyeliner,__export__.product_product_24919,__export__.product_product_24919,300,product,product.product_uom_unit,product.product_uom_unit,300
__export__.product_product_24920,Elf plampin lipgloss,__export__.product_product_24920,__export__.product_product_24920,700,product,product.product_uom_unit,product.product_uom_unit,700
__export__.product_product_24921,Elf shimmer lipgloss,__export__.product_product_24921,__export__.product_product_24921,650,product,product.product_uom_unit,product.product_uom_unit,650
__export__.product_product_24922,Elf Super Glossy lip Shine,__export__.product_product_24922,__export__.product_product_24922,300,product,product.product_uom_unit,product.product_uom_unit,300
__export__.product_product_24923,Etude House fresh cherry tint cherry peach,__export__.product_product_24923,__export__.product_product_24923,300,product,product.product_uom_unit,product.product_uom_unit,300
__export__.product_product_24924,Etude House fresh cherry tint cherry read,__export__.product_product_24924,__export__.product_product_24924,650,product,product.product_uom_unit,product.product_uom_unit,650
__export__.product_product_24925,Etude House kissful lip care cherry,__export__.product_product_24925,__export__.product_product_24925,650,product,product.product_uom_unit,product.product_uom_unit,650
__export__.product_product_24926,Etude House kissful lip care peach,__export__.product_product_24926,__export__.product_product_24926,450,product,product.product_uom_unit,product.product_uom_unit,450
__export__.product_product_24927,Etude House kissful lip care strawberry,__export__.product_product_24927,__export__.product_product_24927,450,product,product.product_uom_unit,product.product_uom_unit,450
__export__.product_product_24928,Etude house  wonder pore freshner,__export__.product_product_24928,__export__.product_product_24928,1100,product,product.product_uom_unit,product.product_uom_unit,1100
__export__.product_product_24929,Witching Hour (Night Emulsion) ,__export__.product_product_24929,__export__.product_product_24929,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24930,TONYMOLY Backstage Gel Eyeliner,__export__.product_product_24930,__export__.product_product_24930,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24931,TONYMOLY I Am Real Pomegranate Elasticity Mask She,__export__.product_product_24931,__export__.product_product_24931,850,product,product.product_uom_unit,product.product_uom_unit,850
__export__.product_product_24932,TONYMOLY I'm Real Aloe Moisturizing Mask Sheet,__export__.product_product_24932,__export__.product_product_24932,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24933,TONYMOLY i'm real avocado Nutrition mask sheet,__export__.product_product_24933,__export__.product_product_24933,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24934,TONYMOLY I'm Real Lemon Brightening Mask Sheet,__export__.product_product_24934,__export__.product_product_24934,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24935,TONYMOLY i'm real makgeolli Skin Purifying mask sh,__export__.product_product_24935,__export__.product_product_24935,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24936,TONYMOLY i'm real rice Clear Skin mask sheet,__export__.product_product_24936,__export__.product_product_24936,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24937,TONYMOLY i'm real seaweeds Skin Purifying mask she,__export__.product_product_24937,__export__.product_product_24937,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24938,TONYMOLY i'm real tea tree Skin Soothing  mask she,__export__.product_product_24938,__export__.product_product_24938,150,product,product.product_uom_unit,product.product_uom_unit,150
