id,name,uom_po_id/id,uom_id/id,line_ids/product_qty,line_ids/location_id/id
__export__.product_template_26796,Innisfree it's real squeeze mask Tea Tree,product.product_uom_unit,product.product_uom_unit,120,__export__.stock_location_30
__export__.product_template_26797,Innisfree jeju lava seawater ampoule skin,product.product_uom_unit,product.product_uom_unit,120,__export__.stock_location_30
__export__.product_template_26798,Innisfree jeju lava seawater deep cream,product.product_uom_unit,product.product_uom_unit,2650,__export__.stock_location_30
__export__.product_template_26799,Innisfree jeju lava seawater deep essence,product.product_uom_unit,product.product_uom_unit,2450,__export__.stock_location_30
__export__.product_template_26800,Innisfree jeju lava seawater eye serum,product.product_uom_unit,product.product_uom_unit,2450,__export__.stock_location_30
__export__.product_template_26801,Innisfree jeju lava seawater intensive ampoule,product.product_uom_unit,product.product_uom_unit,2950,__export__.stock_location_30
__export__.product_template_26802,Innisfree jeju lava seawater lotion,product.product_uom_unit,product.product_uom_unit,2950,__export__.stock_location_30
__export__.product_template_26803,Innisfree jeju sparkling mineral essence,product.product_uom_unit,product.product_uom_unit,2650,__export__.stock_location_30
__export__.product_template_26804,innisfree jeju volcanic blackhead 3 step program,product.product_uom_unit,product.product_uom_unit,2550,__export__.stock_location_30
__export__.product_template_26805,Innisfree jeju volcanic pore clay mask,product.product_uom_unit,product.product_uom_unit,550,__export__.stock_location_30
__export__.product_template_26806,Innisfree jeju volcanic pore cleansing foam,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26807,Innisfree jeju volcanic pore toner,product.product_uom_unit,product.product_uom_unit,900,__export__.stock_location_30
__export__.product_template_26667,innisfree no-sebum mineral pact,product.product_uom_unit,product.product_uom_unit,1050,__export__.stock_location_30
__export__.product_template_26668,innisfree no-sebum mineral powder,product.product_uom_unit,product.product_uom_unit,1100,__export__.stock_location_30
__export__.product_template_26764,innisfree olive real cleansing foam,product.product_uom_unit,product.product_uom_unit,520,__export__.stock_location_30
__export__.product_template_26765,innisfree olive real skin,product.product_uom_unit,product.product_uom_unit,1150,__export__.stock_location_30
__export__.product_template_26766,innisfree orchid eye cream,product.product_uom_unit,product.product_uom_unit,1950,__export__.stock_location_30
__export__.product_template_26767,innisfree perfect 9 repair lotion,product.product_uom_unit,product.product_uom_unit,2550,__export__.stock_location_30
__export__.product_template_26768,innisfree perfect 9 repair skin,product.product_uom_unit,product.product_uom_unit,3250,__export__.stock_location_30
__export__.product_template_26769,innisfree skinny microcara,product.product_uom_unit,product.product_uom_unit,2950,__export__.stock_location_30
__export__.product_template_26771,Innisfree super volcanic pore clay mask,product.product_uom_unit,product.product_uom_unit,950,__export__.stock_location_30
__export__.product_template_26770,Innisfree super volcanic pore clay mask,product.product_uom_unit,product.product_uom_unit,950,__export__.stock_location_30
__export__.product_template_26772,Innisfree the green tea seed cream,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26773,Innisfree the green tea seed eye cream,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26760,Innisfree the green tea seed eye cream,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26761,Innisfree the green tea seed serum,product.product_uom_unit,product.product_uom_unit,1850,__export__.stock_location_30
__export__.product_template_26762,KLEAN Color Madly Matte,product.product_uom_unit,product.product_uom_unit,1850,__export__.stock_location_30
__export__.product_template_26763,LA GIRL Matte Liquid Lipstick,product.product_uom_unit,product.product_uom_unit,520,__export__.stock_location_30
__export__.product_template_26669,La girl Pro face powder ,product.product_uom_unit,product.product_uom_unit,550,__export__.stock_location_30
__export__.product_template_26774,LA GIRL Pro Face Powder,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26775,Laneige multiberry yogurt pack,product.product_uom_unit,product.product_uom_unit,800,__export__.stock_location_30
__export__.product_template_26776,Laneige water sleeping mask,product.product_uom_unit,product.product_uom_unit,2500,__export__.stock_location_30
__export__.product_template_26670,Lip & Eye Remover(100ml),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26671,Lip & eye remover(250ml),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26672,MDHL Collagen Impt. Essential mask ex,product.product_uom_unit,product.product_uom_unit,850,__export__.stock_location_30
__export__.product_template_26673,MDHL IPI Lightmax ample msk ex,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26674,MDHL MEN timetox Blk msk ex,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26675,MDHL NMF Aqr ample mask ex,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26676,MDHL NMF Aqr.gel Eyefil patch,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26677,MDHL NMF midnight capping pack ,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26678,MDHL Vita lightbeam essential mask ex,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26679,MDHL WHP wht Hydrating BLK msk ex,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26680,Missha Paraffin Heating foot mask ,product.product_uom_unit,product.product_uom_unit,175,__export__.stock_location_30
__export__.product_template_26746,Mua 3in1 extreme contour liner,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26747,Mua Artiste collection Eyeshadow palette,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26748,Mua cover & Conceal,product.product_uom_unit,product.product_uom_unit,1700,__export__.stock_location_30
__export__.product_template_26749,Mua Eyelash,product.product_uom_unit,product.product_uom_unit,450,__export__.stock_location_30
__export__.product_template_26750,Mua Eyeshadow(Single),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26751,Mua Hide & Conceal,product.product_uom_unit,product.product_uom_unit,250,__export__.stock_location_30
__export__.product_template_26752,Mua Lip Balm,product.product_uom_unit,product.product_uom_unit,450,__export__.stock_location_30
__export__.product_template_26753,Mua Lipstick,product.product_uom_unit,product.product_uom_unit,450,__export__.stock_location_30
__export__.product_template_26754,Mua Luxe Velvet lip lacquer,product.product_uom_unit,product.product_uom_unit,400,__export__.stock_location_30
__export__.product_template_26755,Mua Luxe whipped velvet lip lacquer,product.product_uom_unit,product.product_uom_unit,650,__export__.stock_location_30
__export__.product_template_26756,Mua Mascara,product.product_uom_unit,product.product_uom_unit,650,__export__.stock_location_30
__export__.product_template_26757,Mua Matte Lipstick,product.product_uom_unit,product.product_uom_unit,450,__export__.stock_location_30
__export__.product_template_26758,Mua Pro-Base complexion Kit (Foundation),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26759,Mua Winter forest eyeshadow palette,product.product_uom_unit,product.product_uom_unit,1000,__export__.stock_location_30
__export__.product_template_26681,Precious mineral BB cream matte-Beige,product.product_uom_unit,product.product_uom_unit,400,__export__.stock_location_30
__export__.product_template_26682,Precious mineral BB cream Matte-Tan ,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26717,Skinfood black pomegranate cream,product.product_uom_unit,product.product_uom_unit,950,__export__.stock_location_30
__export__.product_template_26718,Skinfood black pomegranate emulsion,product.product_uom_unit,product.product_uom_unit,1950,__export__.stock_location_30
__export__.product_template_26719,Skinfood black sugar honey mask,product.product_uom_unit,product.product_uom_unit,1700,__export__.stock_location_30
__export__.product_template_26720,Skinfood black sugar mask,product.product_uom_unit,product.product_uom_unit,900,__export__.stock_location_30
__export__.product_template_26721,Skinfood black sugar perfect cleansing foam for me,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26722,Skinfood black sugar perfect cleansing oil,product.product_uom_unit,product.product_uom_unit,900,__export__.stock_location_30
__export__.product_template_26723,Skinfood black sugar perfect emulsion for men,product.product_uom_unit,product.product_uom_unit,1450,__export__.stock_location_30
__export__.product_template_26724,Skinfood black sugar perfect scrub foam,product.product_uom_unit,product.product_uom_unit,1650,__export__.stock_location_30
__export__.product_template_26725,Skinfood egg white pore hard foam,product.product_uom_unit,product.product_uom_unit,1100,__export__.stock_location_30
__export__.product_template_26726,Skinfood egg white pore mask,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26727,Skinfood gold caviar emulsion,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26728,Skinfood gold caviar serum,product.product_uom_unit,product.product_uom_unit,1950,__export__.stock_location_30
__export__.product_template_26729,Skinfood lemon mask,product.product_uom_unit,product.product_uom_unit,2050,__export__.stock_location_30
__export__.product_template_26730,Skinfood miracle food 10 solution serum,product.product_uom_unit,product.product_uom_unit,900,__export__.stock_location_30
