Layer,Code,Name,Type,Parent Account,active,pending,state
Layer 5,12502007,Interest payable on Call Borrowing in FC <GBP>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502008,Interest Payable A/c- Repo T Bond,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502009,Interest Payable on Short Term Borrowing in FC <USD>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502010,Interest Payable on Short Term Borrowing in FC <GBP>,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12502011,Interest Payable on Short Term Borrowings BDT,Treasury Liabilities,Interest Payable on Borrowings from other Banks,True,False,approve
Layer 5,12503001,Interest Payable on Borrowings from SME Foundation,Interest Payable Accounts,Interest Payable on Borrowings fm other Institution,True,False,approve
Layer 5,12503002,Interest Payable on Borrowing from NBFI,Interest Payable Accounts,Interest Payable on Borrowings fm other Institution,True,False,approve
Layer 5,12504001,IP on SME Foundation Fund (MTB Youth Line),Interest Payable Accounts,Interest Payable on Borrowings fm other Institution <prefinance>,True,False,approve
Layer 5,12504002,IP on SME Foundation Fund (MTB Gunabati),Interest Payable Accounts,Interest Payable on Borrowings fm other Institution <prefinance>,True,False,approve
Layer 5,13101001,Current Account Regular <CAREG>,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101002,MTB Probaho,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101003,Current CMS,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101004,NON RESIDENT INVESTORS TAKA ACCOUNT (NITA),Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101005,Non-Resident Taka Account (NRTA),Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101006,CA Convertible Taka Account,Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13101901,Current Deposit (DST),Liabilities: Customer Accounts,Current Accounts <BDT>,True,False,approve
Layer 5,13102001,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102011,CA FC FOR THE EPZ COMPANIES (FCEPZ)_USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102021,CA FC for DIPLOMATIC BONDED WAREHOUSE(DBW) & DUTY FREE SHOP (DFS) ACCOUNT_USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102031,CA FCDAD USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102041,CA FC OTHERS (IPO/SHIPBUILDERS/CARRIER)_USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102051,CA FC Economic Zone,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102091,CA <for OBU Cust> USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13103001,Credit Balance IN OD/CC Accounts,No BGL only CGL,MiSc Customer Deposit,True,False,approve
Layer 5,13104001,FBPAR USD,Liabilities: Office Accounts,Sundry Deposits <FC>,True,False,approve
Layer 5,13104002,Sundry Deposit USD <OBU>,Liabilities: Office Accounts,Sundry Deposits <FC>,True,False,approve
Layer 5,13105001,RTGS Adjusting Account,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105002,RTGS FI to FI Settlement,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105003,Excess Cash,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105004,MasterCard Prepaid International (USD),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105006,bKash Commission Payable,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
