Layer,Code,Name,Parent Account,,Type,active,pending,state
Layer 5,12302002,SME Foundation Fund (MTB Gunabati),12302,Borrowing under Pre-finance (Other Institute),Liabilities: Customer Accounts,True,False,approve
Layer 5,12303001,Borrowings from NBFI,12303,Borrowings from NBFI,Liabilities: Customer Accounts,True,False,approve
Layer 5,12501001,Interest Payable on Borrowings from LTFF under FSSP,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501002,Interest Payable on Borrowing -IPFF Fund USD,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501003,Interest Payable on Borrowing -IPFF Fund GBP,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501004,Interest Payable on Borrowings from BB-others,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501005,Interest Payable on Borrowings from BB-under prefinance,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501006,Interest Payable on Borrowings from BB-under Refinance,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501007,Intt Payable on Borrowing under EDF from BB,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12501102,Interest Payable on Borrowing -IPFF Fund USD OBU,12501,Interest Payable on Borrowings fm BB,Interest Payable Accounts,True,False,approve
Layer 5,12502001,Interest Payable on Term Borrowing in FC <USD>,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502002,Interest Payable on Term Borrowing in FC <GBP>,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502003,Interest Payable on Term Borrowings BDT,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502004,Interest Payable on Call Borrowing BDT,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502006,Interest payable on Call Borrowing in FC <USD>,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502007,Interest payable on Call Borrowing in FC <GBP>,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502008,Interest Payable A/c- Repo T Bond,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502009,Interest Payable on Short Term Borrowing in FC <USD>,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502010,Interest Payable on Short Term Borrowing in FC <GBP>,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12502011,Interest Payable on Short Term Borrowings BDT,12502,Interest Payable on Borrowings from other Banks,Treasury Liabilities,True,False,approve
Layer 5,12503001,Interest Payable on Borrowings from SME Foundation,12503,Interest Payable on Borrowings fm other Institution,Interest Payable Accounts,True,False,approve
Layer 5,12503002,Interest Payable on Borrowing from NBFI,12503,Interest Payable on Borrowings fm other Institution,Interest Payable Accounts,True,False,approve
Layer 5,12504001,IP on SME Foundation Fund (MTB Youth Line),12504,Interest Payable on Borrowings fm other Institution <prefinance>,Interest Payable Accounts,True,False,approve
Layer 5,12504002,IP on SME Foundation Fund (MTB Gunabati),12504,Interest Payable on Borrowings fm other Institution <prefinance>,Interest Payable Accounts,True,False,approve
Layer 5,13101001,Current Account Regular <CAREG>,13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13101002,MTB Probaho,13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13101003,Current CMS,13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13101004,NON RESIDENT INVESTORS TAKA ACCOUNT (NITA),13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13101005,Non-Resident Taka Account (NRTA),13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13101006,CA Convertible Taka Account,13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13101901,Current Deposit (DST),13101,Current Accounts <BDT>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102001,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-USD,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102011,CA FC FOR THE EPZ COMPANIES (FCEPZ)_USD,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102021,CA FC for DIPLOMATIC BONDED WAREHOUSE(DBW) & DUTY FREE SHOP (DFS) ACCOUNT_USD,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102031,CA FCDAD USD,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102041,CA FC OTHERS (IPO/SHIPBUILDERS/CARRIER)_USD,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102051,CA FC Economic Zone,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13102091,CA <for OBU Cust> USD,13102,Current Accounts <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13103001,Credit Balance IN OD/CC Accounts,13103,MiSc Customer Deposit,No BGL only CGL,True,False,approve
Layer 5,13104001,FBPAR USD,13104,Sundry Deposits <FC>,Liabilities: Office Accounts,True,False,approve
Layer 5,13104002,Sundry Deposit USD <OBU>,13104,Sundry Deposits <FC>,Liabilities: Office Accounts,True,False,approve
Layer 5,13105001,RTGS Adjusting Account,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105002,RTGS FI to FI Settlement,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105003,Excess Cash,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105004,MasterCard Prepaid International (USD),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105006,bKash Commission Payable,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105007,Payable to Bangladesh Bank - Service Charge,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105008,BEFTN Transaction,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105009,Exchange House Coop Fund,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105010,MasterCard Local Prepaid,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105011,Prepaid Gift Card,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105012,Prepaid International Card,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105013,Online Clearing Adjustment,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105014,Risk Fund (Auto Loan),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105015,Stamp Charge Recovery,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105016,Retail CIB Charge Recover for BB,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105017,Retail Notarization Charge Recovery,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105018,Central Fund (RMG Sector),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105019,Risk Fund (Card),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105020,Credit Report Charges Payable,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105021,Transfer Delivery,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105022,Online GL Transaction <Sundry Account>,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105023,Online Transfer DD Amount,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105024,Clearing House Payable,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105025,Risk Fund (Small Business Loan),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105026,Risk Fund (House Repair/Renovation Loan),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105027,Lease Deposit,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105028,P. Fund Loan Instalment,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
